Departamento,Municipio,CÓDIGOS DIVIPOLA,SEXO,VARIABLE / MAYOR DE EDAD (> 18 AÑOS) O MENOR DE EDAD (< 18 AÑOS),(00 a 04),(05 a 09),(10 a 13),(14 a 17),(18 a 19),(20 a 24),(25 a 28),(29 a 34),(35 a 39),(40 a 44),(45 a 49),(50 a 54),(55 a 59),(60 a 64),(65 a 69),(70 a 74),(75 a 79),(80 y más),TOTAL
Amazonas , Leticia,91001,HOMBRE,TOTAL, -   , -   , -   , -   , -   , 1 , 1 , 1 , 1 , 3 , 2 , -   , -   , 1 , -   , -   , -   , -   , 10 
Amazonas , Leticia,91001,Mujer,Menores de Edad (<18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Amazonas , Leticia,91001,Mujer,Mayores de Edad (>18 años), -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , 2 
Amazonas , Leticia,91001,MUJER,TOTAL, -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , 2 
Amazonas , Leticia,91001,Indeterminado,Menores de Edad (<18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Amazonas , Leticia,91001,Indeterminado,Mayores de Edad (>18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Amazonas , Leticia,91001,INDETERMINADO,TOTAL, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Amazonas , Leticia,91001,TOTAL,0, -   , -   , -   , -   , -   , 1 , 1 , 2 , 1 , 3 , 3 , -   , -   , 1 , -   , -   , -   , -   , 12 
Antioquia , Abejorral,5002,Hombre,Menores de Edad (<18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Abejorral,5002,Hombre,Mayores de Edad (>18 años), -   , -   , -   , -   , -   , 2 , -   , 1 , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , 4 
Antioquia , Abejorral,5002,HOMBRE,TOTAL, -   , -   , -   , -   , -   , 2 , -   , 1 , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , 4 
Antioquia , Abejorral,5002,Mujer,Menores de Edad (<18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Abejorral,5002,Mujer,Mayores de Edad (>18 años), -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 
Antioquia , Abejorral,5002,MUJER,TOTAL, -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 
Antioquia , Abejorral,5002,Indeterminado,Menores de Edad (<18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Abejorral,5002,Indeterminado,Mayores de Edad (>18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Abejorral,5002,INDETERMINADO,TOTAL, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Abejorral,5002,TOTAL,0, -   , -   , -   , -   , -   , 2 , -   , 2 , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , 5 
Antioquia , Amagá,5030,Hombre,Menores de Edad (<18 años), -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 
Antioquia , Amagá,5030,Hombre,Mayores de Edad (>18 años), -   , -   , -   , -   , 2 , 3 , 4 , 3 , 1 , 2 , 1 , -   , -   , 1 , -   , -   , -   , -   , 17 
Antioquia , Amagá,5030,HOMBRE,TOTAL, -   , -   , -   , 1 , 2 , 3 , 4 , 3 , 1 , 2 , 1 , -   , -   , 1 , -   , -   , -   , -   , 18 
Antioquia , Amagá,5030,Mujer,Menores de Edad (<18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Amagá,5030,Mujer,Mayores de Edad (>18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Amagá,5030,MUJER,TOTAL, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Amagá,5030,Indeterminado,Menores de Edad (<18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Amagá,5030,Indeterminado,Mayores de Edad (>18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Amagá,5030,INDETERMINADO,TOTAL, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Amagá,5030,TOTAL,0, -   , -   , -   , 1 , 2 , 3 , 4 , 3 , 1 , 2 , 1 , -   , -   , 1 , -   , -   , -   , -   , 18 
Antioquia , Amalfi,5031,Hombre,Menores de Edad (<18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Amalfi,5031,Hombre,Mayores de Edad (>18 años), -   , -   , -   , -   , -   , -   , -   , 3 , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , 5 
Antioquia , Amalfi,5031,HOMBRE,TOTAL, -   , -   , -   , -   , -   , -   , -   , 3 , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , 5 
Antioquia , Amalfi,5031,Mujer,Menores de Edad (<18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Amalfi,5031,Mujer,Mayores de Edad (>18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , 1 
Antioquia , Amalfi,5031,MUJER,TOTAL, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , 1 
Antioquia , Amalfi,5031,Indeterminado,Menores de Edad (<18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Amalfi,5031,Indeterminado,Mayores de Edad (>18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Amalfi,5031,INDETERMINADO,TOTAL, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Amalfi,5031,TOTAL,0, -   , -   , -   , -   , -   , -   , -   , 3 , 1 , 1 , -   , 1 , -   , -   , -   , -   , -   , -   , 6 
Antioquia , Andes,5034,Hombre,Menores de Edad (<18 años), -   , -   , 1 , 2 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 3 
Antioquia , Andes,5034,Hombre,Mayores de Edad (>18 años), -   , -   , -   , -   , 2 , 6 , 9 , 6 , 2 , 3 , 3 , 2 , 2 , -   , 1 , -   , -   , -   , 36 
Antioquia , Andes,5034,HOMBRE,TOTAL, -   , -   , 1 , 2 , 2 , 6 , 9 , 6 , 2 , 3 , 3 , 2 , 2 , -   , 1 , -   , -   , -   , 39 
Antioquia , Andes,5034,Mujer,Menores de Edad (<18 años), -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 
Antioquia , Andes,5034,Mujer,Mayores de Edad (>18 años), -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 
Antioquia , Andes,5034,MUJER,TOTAL, -   , -   , -   , 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 2 
Antioquia , Andes,5034,Indeterminado,Menores de Edad (<18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Andes,5034,Indeterminado,Mayores de Edad (>18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Andes,5034,INDETERMINADO,TOTAL, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Andes,5034,TOTAL,0, -   , -   , 1 , 3 , 2 , 6 , 9 , 7 , 2 , 3 , 3 , 2 , 2 , -   , 1 , -   , -   , -   , 41 
Antioquia , Angelópolis,5036,Hombre,Menores de Edad (<18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Angelópolis,5036,Hombre,Mayores de Edad (>18 años), -   , -   , -   , -   , -   , -   , -   , 1 , 2 , 1 , -   , -   , 1 , -   , -   , -   , -   , -   , 5 
Antioquia , Angelópolis,5036,HOMBRE,TOTAL, -   , -   , -   , -   , -   , -   , -   , 1 , 2 , 1 , -   , -   , 1 , -   , -   , -   , -   , -   , 5 
Antioquia , Angelópolis,5036,Mujer,Menores de Edad (<18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Angelópolis,5036,Mujer,Mayores de Edad (>18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , 1 
Antioquia , Angelópolis,5036,MUJER,TOTAL, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , 1 
Antioquia , Angelópolis,5036,Indeterminado,Menores de Edad (<18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Angelópolis,5036,Indeterminado,Mayores de Edad (>18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Angelópolis,5036,INDETERMINADO,TOTAL, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Angelópolis,5036,TOTAL,0, -   , -   , -   , -   , -   , -   , -   , 1 , 2 , 1 , -   , -   , 2 , -   , -   , -   , -   , -   , 6 
Antioquia , Angostura,5038,Hombre,Menores de Edad (<18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Angostura,5038,Hombre,Mayores de Edad (>18 años), -   , -   , -   , -   , 1 , 2 , 1 , -   , 1 , -   , 1 , -   , -   , 1 , -   , -   , -   , -   , 7 
Antioquia , Angostura,5038,HOMBRE,TOTAL, -   , -   , -   , -   , 1 , 2 , 1 , -   , 1 , -   , 1 , -   , -   , 1 , -   , -   , -   , -   , 7 
Antioquia , Angostura,5038,Mujer,Menores de Edad (<18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Angostura,5038,Mujer,Mayores de Edad (>18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Angostura,5038,MUJER,TOTAL, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Angostura,5038,Indeterminado,Menores de Edad (<18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Angostura,5038,Indeterminado,Mayores de Edad (>18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Angostura,5038,INDETERMINADO,TOTAL, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Angostura,5038,TOTAL,0, -   , -   , -   , -   , 1 , 2 , 1 , -   , 1 , -   , 1 , -   , -   , 1 , -   , -   , -   , -   , 7 
Antioquia , Anorí,5040,Hombre,Menores de Edad (<18 años), -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 
Antioquia , Anorí,5040,Hombre,Mayores de Edad (>18 años), -   , -   , -   , -   , 2 , 6 , -   , 4 , 2 , 3 , 1 , -   , -   , -   , -   , -   , -   , -   , 18 
Antioquia , Anorí,5040,HOMBRE,TOTAL, -   , -   , 1 , -   , 2 , 6 , -   , 4 , 2 , 3 , 1 , -   , -   , -   , -   , -   , -   , -   , 19 
Antioquia , Anorí,5040,Mujer,Menores de Edad (<18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Anorí,5040,Mujer,Mayores de Edad (>18 años), -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 
Antioquia , Anorí,5040,MUJER,TOTAL, -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 
Antioquia , Anorí,5040,Indeterminado,Menores de Edad (<18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Anorí,5040,Indeterminado,Mayores de Edad (>18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Anorí,5040,INDETERMINADO,TOTAL, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Anorí,5040,TOTAL,0, -   , -   , 1 , -   , 2 , 6 , -   , 5 , 2 , 3 , 1 , -   , -   , -   , -   , -   , -   , -   , 20 
Antioquia , Anzá,5044,Hombre,Menores de Edad (<18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Anzá,5044,Hombre,Mayores de Edad (>18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , 2 , -   , -   , -   , -   , -   , -   , -   , -   , 2 
Antioquia , Anzá,5044,HOMBRE,TOTAL, -   , -   , -   , -   , -   , -   , -   , -   , -   , 2 , -   , -   , -   , -   , -   , -   , -   , -   , 2 
Antioquia , Anzá,5044,Mujer,Menores de Edad (<18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Anzá,5044,Mujer,Mayores de Edad (>18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Anzá,5044,MUJER,TOTAL, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Anzá,5044,Indeterminado,Menores de Edad (<18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Anzá,5044,Indeterminado,Mayores de Edad (>18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Anzá,5044,INDETERMINADO,TOTAL, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Anzá,5044,TOTAL,0, -   , -   , -   , -   , -   , -   , -   , -   , -   , 2 , -   , -   , -   , -   , -   , -   , -   , -   , 2 
Antioquia , Apartadó,5045,Hombre,Menores de Edad (<18 años), -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 
Antioquia , Apartadó,5045,Hombre,Mayores de Edad (>18 años), -   , -   , -   , -   , -   , 4 , -   , 3 , 1 , 1 , 1 , -   , -   , 1 , -   , -   , -   , -   , 11 
Antioquia , Apartadó,5045,HOMBRE,TOTAL, -   , -   , -   , 1 , -   , 4 , -   , 3 , 1 , 1 , 1 , -   , -   , 1 , -   , -   , -   , -   , 12 
Antioquia , Apartadó,5045,Mujer,Menores de Edad (<18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Apartadó,5045,Mujer,Mayores de Edad (>18 años), -   , -   , -   , -   , -   , -   , -   , 1 , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , 2 
Antioquia , Apartadó,5045,MUJER,TOTAL, -   , -   , -   , -   , -   , -   , -   , 1 , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , 2 
Antioquia , Apartadó,5045,Indeterminado,Menores de Edad (<18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Apartadó,5045,Indeterminado,Mayores de Edad (>18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Apartadó,5045,INDETERMINADO,TOTAL, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Apartadó,5045,TOTAL,0, -   , -   , -   , 1 , -   , 4 , -   , 4 , 1 , 2 , 1 , -   , -   , 1 , -   , -   , -   , -   , 14 
Antioquia , Arboletes,5051,Hombre,Menores de Edad (<18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Arboletes,5051,Hombre,Mayores de Edad (>18 años), -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 
Antioquia , Arboletes,5051,HOMBRE,TOTAL, -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 
Antioquia , Arboletes,5051,Mujer,Menores de Edad (<18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Arboletes,5051,Mujer,Mayores de Edad (>18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Arboletes,5051,MUJER,TOTAL, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Arboletes,5051,Indeterminado,Menores de Edad (<18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Arboletes,5051,Indeterminado,Mayores de Edad (>18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Arboletes,5051,INDETERMINADO,TOTAL, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Arboletes,5051,TOTAL,0, -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 
Antioquia , Argelia,5055,Hombre,Menores de Edad (<18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Argelia,5055,Hombre,Mayores de Edad (>18 años), -   , -   , -   , -   , 1 , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , 2 
Antioquia , Argelia,5055,HOMBRE,TOTAL, -   , -   , -   , -   , 1 , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , 2 
Antioquia , Argelia,5055,Mujer,Menores de Edad (<18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Argelia,5055,Mujer,Mayores de Edad (>18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Argelia,5055,MUJER,TOTAL, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Argelia,5055,Indeterminado,Menores de Edad (<18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Argelia,5055,Indeterminado,Mayores de Edad (>18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Argelia,5055,INDETERMINADO,TOTAL, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Argelia,5055,TOTAL,0, -   , -   , -   , -   , 1 , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , 2 
Antioquia , Armenia,5059,Hombre,Menores de Edad (<18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Armenia,5059,Hombre,Mayores de Edad (>18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , 1 
Antioquia , Armenia,5059,HOMBRE,TOTAL, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , 1 
Antioquia , Armenia,5059,Mujer,Menores de Edad (<18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Armenia,5059,Mujer,Mayores de Edad (>18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Armenia,5059,MUJER,TOTAL, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Armenia,5059,Indeterminado,Menores de Edad (<18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Armenia,5059,Indeterminado,Mayores de Edad (>18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Armenia,5059,INDETERMINADO,TOTAL, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Armenia,5059,TOTAL,0, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , 1 
Antioquia , Barbosa,5079,Hombre,Menores de Edad (<18 años), -   , -   , -   , 2 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 2 
Antioquia , Barbosa,5079,Hombre,Mayores de Edad (>18 años), -   , -   , -   , -   , 1 , 7 , 3 , 5 , 4 , 3 , 1 , 2 , 2 , -   , -   , -   , -   , -   , 28 
Antioquia , Barbosa,5079,HOMBRE,TOTAL, -   , -   , -   , 2 , 1 , 7 , 3 , 5 , 4 , 3 , 1 , 2 , 2 , -   , -   , -   , -   , -   , 30 
Antioquia , Barbosa,5079,Mujer,Menores de Edad (<18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Barbosa,5079,Mujer,Mayores de Edad (>18 años), -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 
Antioquia , Barbosa,5079,MUJER,TOTAL, -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 
Antioquia , Barbosa,5079,Indeterminado,Menores de Edad (<18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Barbosa,5079,Indeterminado,Mayores de Edad (>18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Barbosa,5079,INDETERMINADO,TOTAL, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Barbosa,5079,TOTAL,0, -   , -   , -   , 2 , 1 , 7 , 3 , 6 , 4 , 3 , 1 , 2 , 2 , -   , -   , -   , -   , -   , 31 
Antioquia , Bello,5088,Hombre,Menores de Edad (<18 años), -   , -   , -   , 5 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 
