VIOLENCIA INTRAFAMILIAR (VIF) EN BOGOTÁ D.C AÑO 2020 / LOCALIDAD DEL HECHO,Antonio Nariño,Antonio Nariño.1,Antonio Nariño.2,Antonio Nariño.3,Antonio Nariño.4,Antonio Nariño.5,Antonio Nariño.6,Barrios Unidos,Barrios Unidos.1,Barrios Unidos.2,Barrios Unidos.3,Barrios Unidos.4,Barrios Unidos.5,Barrios Unidos.6,Bosa,Bosa.1,Bosa.2,Bosa.3,Bosa.4,Bosa.5,Bosa.6,Chapinero,Chapinero.1,Chapinero.2,Chapinero.3,Chapinero.4,Chapinero.5,Chapinero.6,Ciudad Bolívar,Ciudad Bolívar.1,Ciudad Bolívar.2,Ciudad Bolívar.3,Ciudad Bolívar.4,Ciudad Bolívar.5,Ciudad Bolívar.6,Engativá,Engativá.1,Engativá.2,Engativá.3,Engativá.4,Engativá.5,Engativá.6,Fontibón,Fontibón.1,Fontibón.2,Fontibón.3,Fontibón.4,Fontibón.5,Fontibón.6,Kennedy,Kennedy.1,Kennedy.2,Kennedy.3,Kennedy.4,Kennedy.5,Kennedy.6,La Candelaria,La Candelaria.1,La Candelaria.2,La Candelaria.3,La Candelaria.4,La Candelaria.5,La Candelaria.6,Mártires,Mártires.1,Mártires.2,Mártires.3,Mártires.4,Mártires.5,Mártires.6,Puente Aranda,Puente Aranda.1,Puente Aranda.2,Puente Aranda.3,Puente Aranda.4,Puente Aranda.5,Puente Aranda.6,Rafael Uribe Uribe,Rafael Uribe Uribe.1,Rafael Uribe Uribe.2,Rafael Uribe Uribe.3,Rafael Uribe Uribe.4,Rafael Uribe Uribe.5,Rafael Uribe Uribe.6,San Cristóbal,San Cristóbal.1,San Cristóbal.2,San Cristóbal.3,San Cristóbal.4,San Cristóbal.5,San Cristóbal.6,Santafé,Santafé.1,Santafé.2,Santafé.3,Santafé.4,Santafé.5,Santafé.6,Suba,Suba.1,Suba.2,Suba.3,Suba.4,Suba.5,Suba.6,Sumapaz,Sumapaz.1,Sumapaz.2,Sumapaz.3,Sumapaz.4,Sumapaz.5,Sumapaz.6,Teusaquillo,Teusaquillo.1,Teusaquillo.2,Teusaquillo.3,Teusaquillo.4,Teusaquillo.5,Teusaquillo.6,Tunjuelito,Tunjuelito.1,Tunjuelito.2,Tunjuelito.3,Tunjuelito.4,Tunjuelito.5,Tunjuelito.6,Usaquén,Usaquén.1,Usaquén.2,Usaquén.3,Usaquén.4,Usaquén.5,Usaquén.6,Usme,Usme.1,Usme.2,Usme.3,Usme.4,Usme.5,Usme.6,Sin información,Sin información.1,Sin información.2,Sin información.3,Sin información.4,Sin información.5,Sin información.6,CIFRA
(18 a 19),-,-,-,-,3,3,3,-,-,-,-,2,2,2,-,11,11,-,14,14,25,-,-,-,-,2,2,2,-,6,6,-,16,16,22,-,6,6,-,7,7,13,-,1,1,-,3,3,4,-,12,12,-,15,15,27,-,-,-,-,1,1,1,-,2,2,-,1,1,3,-,5,5,-,-,-,5,-,6,6,-,14,14,20,-,6,6,-,13,13,19,-,3,3,-,3,3,6,-,9,9,-,20,20,29,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-,-,3,3,3,-,2,2,-,3,3,5,-,6,6,-,3,3,9,-,-,-,-,3,3,3,202
(20 a 24),-,-,-,-,4,4,4,-,-,-,-,3,3,3,-,15,15,-,29,29,44,-,1,1,-,3,3,4,-,24,24,-,34,34,58,-,13,13,-,29,29,42,-,4,4,-,5,5,9,-,16,16,-,40,40,56,-,-,-,-,2,2,2,-,3,3,-,4,4,7,-,3,3,-,8,8,11,-,5,5,-,20,20,25,-,19,19,-,31,31,50,-,5,5,-,6,6,11,-,17,17,-,44,44,61,-,-,-,-,-,-,-,-,2,2,-,2,2,4,-,3,3,-,9,9,12,-,15,15,-,11,11,26,-,10,10,-,19,19,29,-,7,7,-,3,3,10,468
(25 a 29),-,1,1,-,3,3,4,-,1,1,-,8,8,9,-,17,17,-,31,31,48,-,1,1,-,2,2,3,-,25,25,-,27,27,52,-,9,9,-,25,25,34,-,5,5,-,7,7,12,-,18,18,-,45,45,63,-,1,1,-,1,1,2,-,5,5,-,6,6,11,-,7,7,-,3,3,10,-,10,10,-,14,14,24,-,12,12,-,21,21,33,-,5,5,-,4,4,9,-,25,25,-,22,22,47,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,6,6,-,7,7,13,-,3,3,-,13,13,16,-,11,11,-,19,19,30,-,6,6,-,8,8,14,435
(30 a 34),-,3,3,-,5,5,8,-,1,1,-,1,1,2,-,8,8,-,23,23,31,-,2,2,-,2,2,4,-,21,21,-,36,36,57,-,15,15,-,20,20,35,-,3,3,-,5,5,8,-,23,23,-,29,29,52,-,1,1,-,2,2,3,-,2,2,-,1,1,3,-,6,6,-,4,4,10,-,9,9,-,14,14,23,-,12,12,-,14,14,26,-,3,3,-,5,5,8,-,20,20,-,19,19,39,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,-,11,11,15,-,5,5,-,5,5,10,-,9,9,-,15,15,24,-,3,3,-,2,2,5,363
(35 a 39),-,1,1,-,4,4,5,-,2,2,-,3,3,5,-,13,13,-,27,27,40,-,2,2,-,1,1,3,-,12,12,-,22,22,34,-,9,9,-,17,17,26,-,7,7,-,3,3,10,-,17,17,-,21,21,38,-,-,-,-,1,1,1,-,-,-,-,4,4,4,-,3,3,-,6,6,9,-,8,8,-,8,8,16,-,9,9,-,14,14,23,-,4,4,-,6,6,10,-,13,13,-,18,18,31,-,-,-,-,-,-,-,-,-,-,-,4,4,4,-,8,8,-,4,4,12,-,2,2,-,8,8,10,-,8,8,-,15,15,23,-,6,6,-,4,4,10,314
(40 a 44),-,-,-,-,4,4,4,-,1,1,-,4,4,5,-,10,10,-,25,25,35,-,1,1,-,1,1,2,-,12,12,-,21,21,33,-,15,15,-,20,20,35,-,4,4,-,3,3,7,-,12,12,-,21,21,33,-,-,-,-,-,-,-,-,-,-,-,4,4,4,-,8,8,-,5,5,13,-,-,-,-,8,8,8,-,8,8,-,20,20,28,-,-,-,-,6,6,6,-,8,8,-,18,18,26,-,-,-,-,-,-,-,-,2,2,-,1,1,3,-,3,3,-,6,6,9,-,4,4,-,2,2,6,-,6,6,-,13,13,19,-,2,2,-,4,4,6,282
(45 a 49),-,2,2,-,-,-,2,-,1,1,-,-,-,1,-,10,10,-,12,12,22,-,1,1,-,1,1,2,-,10,10,-,22,22,32,-,13,13,-,13,13,26,-,2,2,-,2,2,4,-,11,11,-,20,20,31,-,-,-,-,-,-,-,-,1,1,-,1,1,2,-,3,3,-,8,8,11,-,6,6,-,6,6,12,-,9,9,-,19,19,28,-,1,1,-,4,4,5,-,7,7,-,12,12,19,-,-,-,-,-,-,-,-,1,1,-,1,1,2,-,2,2,-,2,2,4,-,2,2,-,6,6,8,-,2,2,-,9,9,11,-,1,1,-,5,5,6,228
(50 a 54),-,2,2,-,5,5,7,-,1,1,-,1,1,2,-,7,7,-,10,10,17,-,1,1,-,3,3,4,-,15,15,-,27,27,42,-,7,7,-,18,18,25,-,5,5,-,2,2,7,-,11,11,-,20,20,31,-,-,-,-,-,-,-,-,-,-,-,3,3,3,-,1,1,-,7,7,8,-,5,5,-,6,6,11,-,6,6,-,10,10,16,-,4,4,-,6,6,10,-,10,10,-,16,16,26,-,-,-,-,-,-,-,-,1,1,-,-,-,1,-,4,4,-,3,3,7,-,6,6,-,5,5,11,-,2,2,-,4,4,6,-,2,2,-,3,3,5,239
(55 a 59),-,1,1,-,7,7,8,-,2,2,-,3,3,5,-,11,11,-,20,20,31,-,-,-,-,1,1,1,-,10,10,-,11,11,21,-,13,13,-,10,10,23,-,4,4,-,-,-,4,-,11,11,-,15,15,26,-,1,1,-,1,1,2,-,1,1,-,2,2,3,-,1,1,-,2,2,3,-,12,12,-,11,11,23,-,10,10,-,18,18,28,-,5,5,-,5,5,10,-,5,5,-,21,21,26,-,-,-,-,-,-,-,-,2,2,-,3,3,5,-,5,5,-,4,4,9,-,7,7,-,5,5,12,-,4,4,-,9,9,13,-,7,7,-,5,5,12,265
VIOLENCIA CONTRA EL ADULTO MAYOR (VIF),-,6,6,-,8,8,14,-,4,4,-,7,7,11,-,21,21,-,19,19,40,-,2,2,-,3,3,5,-,25,25,-,19,19,44,-,30,30,-,23,23,53,-,5,5,-,4,4,9,-,19,19,-,31,31,50,-,2,2,-,1,1,3,-,4,4,-,7,7,11,-,8,8,-,8,8,16,-,8,8,-,7,7,15,-,16,16,-,17,17,33,-,5,5,-,-,-,5,-,19,19,-,17,17,36,-,-,-,-,-,-,-,-,1,1,-,5,5,6,-,10,10,-,6,6,16,-,10,10,-,9,9,19,-,18,18,-,18,18,36,-,3,3,-,7,7,10,432
(60 a 64),-,2,2,-,4,4,6,-,2,2,-,4,4,6,-,3,3,-,10,10,13,-,2,2,-,2,2,4,-,12,12,-,8,8,20,-,16,16,-,14,14,30,-,1,1,-,2,2,3,-,7,7,-,8,8,15,-,-,-,-,-,-,-,-,2,2,-,4,4,6,-,2,2,-,3,3,5,-,1,1,-,1,1,2,-,9,9,-,8,8,17,-,4,4,-,-,-,4,-,5,5,-,4,4,9,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,5,5,-,1,1,6,-,9,9,-,2,2,11,-,8,8,-,9,9,17,-,1,1,-,3,3,4,179
(65 a 69),-,3,3,-,1,1,4,-,-,-,-,2,2,2,-,9,9,-,4,4,13,-,-,-,-,-,-,-,-,7,7,-,3,3,10,-,6,6,-,2,2,8,-,2,2,-,1,1,3,-,4,4,-,11,11,15,-,1,1,-,1,1,2,-,-,-,-,1,1,1,-,4,4,-,2,2,6,-,4,4,-,3,3,7,-,3,3,-,2,2,5,-,-,-,-,-,-,-,-,6,6,-,8,8,14,-,-,-,-,-,-,-,-,-,-,-,4,4,4,-,2,2,-,1,1,3,-,-,-,-,2,2,2,-,4,4,-,4,4,8,-,2,2,-,1,1,3,110
(70 a 74),-,-,-,-,2,2,2,-,2,2,-,1,1,3,-,5,5,-,3,3,8,-,-,-,-,1,1,1,-,5,5,-,2,2,7,-,7,7,-,3,3,10,-,-,-,-,1,1,1,-,3,3,-,4,4,7,-,1,1,-,-,-,1,-,2,2,-,1,1,3,-,1,1,-,1,1,2,-,-,-,-,1,1,1,-,3,3,-,3,3,6,-,1,1,-,-,-,1,-,7,7,-,2,2,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,-,1,1,-,1,1,2,-,2,2,-,2,2,4,-,-,-,-,2,2,2,72
(75 a 79),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,1,1,2,-,-,-,-,-,-,-,-,-,-,-,2,2,2,-,1,1,-,2,2,3,-,1,1,-,-,-,1,-,2,2,-,2,2,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,1,1,2,-,2,2,-,2,2,4,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,2,-,-,-,-,3,3,3,-,3,3,-,1,1,4,-,-,-,-,-,-,-,29
(80 y más),-,1,1,-,1,1,2,-,-,-,-,-,-,-,-,3,3,-,1,1,4,-,-,-,-,-,-,-,-,1,1,-,4,4,5,-,-,-,-,2,2,2,-,1,1,-,-,-,1,-,3,3,-,6,6,9,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-,-,1,1,1,-,1,1,-,-,-,1,-,1,1,-,3,3,4,-,-,-,-,-,-,-,-,1,1,-,2,2,3,-,-,-,-,-,-,-,-,1,1,-,-,-,1,-,1,1,-,2,2,3,-,-,-,-,1,1,1,-,1,1,-,2,2,3,-,-,-,-,1,1,1,42
TOTAL,15,16,31,3,43,46,77,6,13,19,6,32,38,57,111,123,234,116,210,326,560,4,11,15,7,19,26,41,86,160,246,109,235,344,590,57,130,187,54,182,236,423,23,40,63,18,34,52,115,90,150,240,90,257,347,587,-,5,5,-,9,9,14,15,18,33,21,33,54,87,8,45,53,18,51,69,122,46,69,115,40,108,148,263,71,107,178,82,177,259,437,7,35,42,17,45,62,104,63,133,196,56,207,263,459,-,-,-,-,1,1,1,10,9,19,2,17,19,38,25,45,70,15,55,70,140,20,56,76,25,67,92,168,50,76,126,55,124,179,305,46,37,83,31,44,75,158,4746
VARIABLE: GRUPO EDAD JUDICIAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"VIOLENCIA CONTRA NIÑOS, NIÑAS Y ADOLESCENTES (VIF)",15,-,15,3,-,3,18,6,-,6,6,-,6,12,111,-,111,116,-,116,227,4,-,4,7,-,7,11,86,-,86,109,-,109,195,57,-,57,54,-,54,111,23,-,23,18,-,18,41,90,-,90,90,-,90,180,-,-,-,-,-,-,-,15,-,15,21,-,21,36,8,-,8,18,-,18,26,46,-,46,40,-,40,86,71,-,71,82,-,82,153,7,-,7,17,-,17,24,63,-,63,56,-,56,119,-,-,-,-,-,-,-,10,-,10,2,-,2,12,25,-,25,15,-,15,40,20,-,20,25,-,25,45,50,-,50,55,-,55,105,46,-,46,31,-,31,77,1518
(00 a 04),4,-,4,-,-,-,4,2,-,2,2,-,2,4,11,-,11,12,-,12,23,1,-,1,2,-,2,3,16,-,16,7,-,7,23,12,-,12,5,-,5,17,4,-,4,2,-,2,6,19,-,19,15,-,15,34,-,-,-,-,-,-,-,1,-,1,4,-,4,5,-,-,-,4,-,4,4,11,-,11,3,-,3,14,9,-,9,10,-,10,19,-,-,-,2,-,2,2,14,-,14,6,-,6,20,-,-,-,-,-,-,-,4,-,4,1,-,1,5,3,-,3,2,-,2,5,5,-,5,3,-,3,8,7,-,7,7,-,7,14,10,-,10,5,-,5,15,225
(05 a 09),6,-,6,-,-,-,6,1,-,1,1,-,1,2,33,-,33,28,-,28,61,1,-,1,2,-,2,3,22,-,22,22,-,22,44,15,-,15,16,-,16,31,9,-,9,4,-,4,13,21,-,21,17,-,17,38,-,-,-,-,-,-,-,5,-,5,3,-,3,8,2,-,2,4,-,4,6,9,-,9,6,-,6,15,15,-,15,9,-,9,24,1,-,1,4,-,4,5,13,-,13,13,-,13,26,-,-,-,-,-,-,-,3,-,3,1,-,1,4,12,-,12,4,-,4,16,2,-,2,6,-,6,8,9,-,9,16,-,16,25,14,-,14,8,-,8,22,357
(10 a 13),3,-,3,-,-,-,3,1,-,1,2,-,2,3,24,-,24,21,-,21,45,2,-,2,-,-,-,2,19,-,19,32,-,32,51,19,-,19,15,-,15,34,3,-,3,5,-,5,8,27,-,27,29,-,29,56,-,-,-,-,-,-,-,4,-,4,3,-,3,7,2,-,2,7,-,7,9,9,-,9,12,-,12,21,23,-,23,27,-,27,50,1,-,1,7,-,7,8,15,-,15,20,-,20,35,-,-,-,-,-,-,-,1,-,1,-,-,-,1,4,-,4,4,-,4,8,7,-,7,3,-,3,10,18,-,18,13,-,13,31,12,-,12,9,-,9,21,403
(14 a 17),2,-,2,3,-,3,5,2,-,2,1,-,1,3,43,-,43,55,-,55,98,-,-,-,3,-,3,3,29,-,29,48,-,48,77,11,-,11,18,-,18,29,7,-,7,7,-,7,14,23,-,23,29,-,29,52,-,-,-,-,-,-,-,5,-,5,11,-,11,16,4,-,4,3,-,3,7,17,-,17,19,-,19,36,24,-,24,36,-,36,60,5,-,5,4,-,4,9,21,-,21,17,-,17,38,-,-,-,-,-,-,-,2,-,2,-,-,-,2,6,-,6,5,-,5,11,6,-,6,13,-,13,19,16,-,16,19,-,19,35,10,-,10,9,-,9,19,533
