Departamento , MUNICIPIO DEL HECHO DANE,CÓDIGOS DIVIPOLA,SEXO,VARIABLE / MAYOR DE EDAD (> 18 AÑOS) O MENOR DE EDAD (< 18 AÑOS),00:00 a 02:59,03:00 a 05:59,06:00 a 08:59,09:00 a 11:59,12:00 a 14:59,15:00 a 17:59,18:00 a 20:59,21:00 a 23:59,Sin información,TOTAL
Antioquia , Abejorral,5002.0,Hombre,Menores de Edad (<18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Abejorral,5002.0,Hombre,Mayores de Edad (>18 años), -   , -   , -   , -   , -   , -   , -   , -   , 2 , 2 
Antioquia , Abejorral,5002.0,HOMBRE,TOTAL, -   , -   , -   , -   , -   , -   , -   , -   , 2 , 2 
Antioquia , Abejorral,5002.0,Mujer,Menores de Edad (<18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Abejorral,5002.0,Mujer,Mayores de Edad (>18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Abejorral,5002.0,MUJER,TOTAL, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Abejorral,5002.0,TOTAL,, -   , -   , -   , -   , -   , -   , -   , -   , 2 , 2 
Antioquia , Amalfi,5031.0,Hombre,Menores de Edad (<18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Amalfi,5031.0,Hombre,Mayores de Edad (>18 años), -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 
Antioquia , Amalfi,5031.0,HOMBRE,TOTAL, -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 
Antioquia , Amalfi,5031.0,Mujer,Menores de Edad (<18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Amalfi,5031.0,Mujer,Mayores de Edad (>18 años), -   , -   , -   , -   , -   , 1 , -   , -   , -   , 1 
Antioquia , Amalfi,5031.0,MUJER,TOTAL, -   , -   , -   , -   , -   , 1 , -   , -   , -   , 1 
Antioquia , Amalfi,5031.0,TOTAL,, -   , -   , -   , -   , -   , 1 , -   , -   , 1 , 2 
Antioquia , Andes,5034.0,Hombre,Menores de Edad (<18 años), -   , -   , -   , -   , 1 , -   , -   , -   , -   , 1 
Antioquia , Andes,5034.0,Hombre,Mayores de Edad (>18 años), 1 , 1 , 1 , 2 , -   , -   , 1 , -   , 3 , 9 
Antioquia , Andes,5034.0,HOMBRE,TOTAL, 1 , 1 , 1 , 2 , 1 , -   , 1 , -   , 3 , 10 
Antioquia , Andes,5034.0,Mujer,Menores de Edad (<18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Andes,5034.0,Mujer,Mayores de Edad (>18 años), 1 , -   , -   , -   , -   , -   , -   , 1 , -   , 2 
Antioquia , Andes,5034.0,MUJER,TOTAL, 1 , -   , -   , -   , -   , -   , -   , 1 , -   , 2 
Antioquia , Andes,5034.0,TOTAL,, 2 , 1 , 1 , 2 , 1 , -   , 1 , 1 , 3 , 12 
Antioquia , Anorí,5040.0,Hombre,Menores de Edad (<18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Anorí,5040.0,Hombre,Mayores de Edad (>18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Anorí,5040.0,HOMBRE,TOTAL, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Anorí,5040.0,Mujer,Menores de Edad (<18 años), -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 
Antioquia , Anorí,5040.0,Mujer,Mayores de Edad (>18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Anorí,5040.0,MUJER,TOTAL, -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 
Antioquia , Anorí,5040.0,TOTAL,, -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 
Antioquia , Apartadó,5045.0,Hombre,Menores de Edad (<18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Apartadó,5045.0,Hombre,Mayores de Edad (>18 años), -   , -   , -   , 1 , -   , -   , -   , -   , 1 , 2 
Antioquia , Apartadó,5045.0,HOMBRE,TOTAL, -   , -   , -   , 1 , -   , -   , -   , -   , 1 , 2 
Antioquia , Apartadó,5045.0,Mujer,Menores de Edad (<18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Apartadó,5045.0,Mujer,Mayores de Edad (>18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Apartadó,5045.0,MUJER,TOTAL, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Apartadó,5045.0,TOTAL,, -   , -   , -   , 1 , -   , -   , -   , -   , 1 , 2 
Antioquia , Arboletes,5051.0,Hombre,Menores de Edad (<18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Arboletes,5051.0,Hombre,Mayores de Edad (>18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Arboletes,5051.0,HOMBRE,TOTAL, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Arboletes,5051.0,Mujer,Menores de Edad (<18 años), -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 
Antioquia , Arboletes,5051.0,Mujer,Mayores de Edad (>18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Arboletes,5051.0,MUJER,TOTAL, -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 
Antioquia , Arboletes,5051.0,TOTAL,, -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 
Antioquia , Barbosa,5079.0,Hombre,Menores de Edad (<18 años), -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 
Antioquia , Barbosa,5079.0,Hombre,Mayores de Edad (>18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Barbosa,5079.0,HOMBRE,TOTAL, -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 
Antioquia , Barbosa,5079.0,Mujer,Menores de Edad (<18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Barbosa,5079.0,Mujer,Mayores de Edad (>18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Barbosa,5079.0,MUJER,TOTAL, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Barbosa,5079.0,TOTAL,, -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 
Antioquia , Bello,5088.0,Hombre,Menores de Edad (<18 años), -   , -   , -   , 1 , -   , -   , -   , -   , 3 , 4 
Antioquia , Bello,5088.0,Hombre,Mayores de Edad (>18 años), 2 , -   , 1 , 1 , -   , -   , -   , 1 , 22 , 27 
Antioquia , Bello,5088.0,HOMBRE,TOTAL, 2 , -   , 1 , 2 , -   , -   , -   , 1 , 25 , 31 
Antioquia , Bello,5088.0,Mujer,Menores de Edad (<18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Bello,5088.0,Mujer,Mayores de Edad (>18 años), -   , -   , -   , -   , -   , -   , -   , -   , 3 , 3 
Antioquia , Bello,5088.0,MUJER,TOTAL, -   , -   , -   , -   , -   , -   , -   , -   , 3 , 3 
Antioquia , Bello,5088.0,TOTAL,, 2 , -   , 1 , 2 , -   , -   , -   , 1 , 28 , 34 
Antioquia , Caldas,5129.0,Hombre,Menores de Edad (<18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Caldas,5129.0,Hombre,Mayores de Edad (>18 años), -   , -   , -   , -   , -   , 1 , -   , -   , 5 , 6 
Antioquia , Caldas,5129.0,HOMBRE,TOTAL, -   , -   , -   , -   , -   , 1 , -   , -   , 5 , 6 
Antioquia , Caldas,5129.0,Mujer,Menores de Edad (<18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Caldas,5129.0,Mujer,Mayores de Edad (>18 años), -   , -   , -   , -   , -   , -   , -   , -   , 2 , 2 
Antioquia , Caldas,5129.0,MUJER,TOTAL, -   , -   , -   , -   , -   , -   , -   , -   , 2 , 2 
Antioquia , Caldas,5129.0,TOTAL,, -   , -   , -   , -   , -   , 1 , -   , -   , 7 , 8 
Antioquia , Campamento,5134.0,Hombre,Menores de Edad (<18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Campamento,5134.0,Hombre,Mayores de Edad (>18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Campamento,5134.0,HOMBRE,TOTAL, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Campamento,5134.0,Mujer,Menores de Edad (<18 años), -   , -   , 1 , -   , -   , -   , -   , -   , -   , 1 
Antioquia , Campamento,5134.0,Mujer,Mayores de Edad (>18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Campamento,5134.0,MUJER,TOTAL, -   , -   , 1 , -   , -   , -   , -   , -   , -   , 1 
Antioquia , Campamento,5134.0,TOTAL,, -   , -   , 1 , -   , -   , -   , -   , -   , -   , 1 
Antioquia , Cañasgordas,5138.0,Hombre,Menores de Edad (<18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Cañasgordas,5138.0,Hombre,Mayores de Edad (>18 años), -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 
Antioquia , Cañasgordas,5138.0,HOMBRE,TOTAL, -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 
Antioquia , Cañasgordas,5138.0,Mujer,Menores de Edad (<18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Cañasgordas,5138.0,Mujer,Mayores de Edad (>18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Cañasgordas,5138.0,MUJER,TOTAL, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Cañasgordas,5138.0,TOTAL,, -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 
Antioquia , Caracolí,5142.0,Hombre,Menores de Edad (<18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Caracolí,5142.0,Hombre,Mayores de Edad (>18 años), -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 
Antioquia , Caracolí,5142.0,HOMBRE,TOTAL, -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 
Antioquia , Caracolí,5142.0,Mujer,Menores de Edad (<18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Caracolí,5142.0,Mujer,Mayores de Edad (>18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Caracolí,5142.0,MUJER,TOTAL, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Caracolí,5142.0,TOTAL,, -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 
Antioquia , Carepa,5147.0,Hombre,Menores de Edad (<18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Carepa,5147.0,Hombre,Mayores de Edad (>18 años), -   , -   , -   , -   , -   , -   , -   , -   , 2 , 2 
Antioquia , Carepa,5147.0,HOMBRE,TOTAL, -   , -   , -   , -   , -   , -   , -   , -   , 2 , 2 
Antioquia , Carepa,5147.0,Mujer,Menores de Edad (<18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Carepa,5147.0,Mujer,Mayores de Edad (>18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Carepa,5147.0,MUJER,TOTAL, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Carepa,5147.0,TOTAL,, -   , -   , -   , -   , -   , -   , -   , -   , 2 , 2 
Antioquia , Caucasia,5154.0,Hombre,Menores de Edad (<18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Caucasia,5154.0,Hombre,Mayores de Edad (>18 años), -   , -   , -   , -   , -   , -   , -   , -   , 3 , 3 
Antioquia , Caucasia,5154.0,HOMBRE,TOTAL, -   , -   , -   , -   , -   , -   , -   , -   , 3 , 3 
Antioquia , Caucasia,5154.0,Mujer,Menores de Edad (<18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Caucasia,5154.0,Mujer,Mayores de Edad (>18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Caucasia,5154.0,MUJER,TOTAL, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Caucasia,5154.0,TOTAL,, -   , -   , -   , -   , -   , -   , -   , -   , 3 , 3 
Antioquia , Chigorodó,5172.0,Hombre,Menores de Edad (<18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Chigorodó,5172.0,Hombre,Mayores de Edad (>18 años), -   , -   , -   , -   , -   , -   , -   , -   , 3 , 3 
Antioquia , Chigorodó,5172.0,HOMBRE,TOTAL, -   , -   , -   , -   , -   , -   , -   , -   , 3 , 3 
Antioquia , Chigorodó,5172.0,Mujer,Menores de Edad (<18 años), -   , -   , -   , -   , -   , -   , 1 , -   , -   , 1 
Antioquia , Chigorodó,5172.0,Mujer,Mayores de Edad (>18 años), -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 
Antioquia , Chigorodó,5172.0,MUJER,TOTAL, -   , -   , -   , -   , -   , -   , 1 , -   , 1 , 2 
Antioquia , Chigorodó,5172.0,TOTAL,, -   , -   , -   , -   , -   , -   , 1 , -   , 4 , 5 
Antioquia , Cisneros,5190.0,Hombre,Menores de Edad (<18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Cisneros,5190.0,Hombre,Mayores de Edad (>18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Cisneros,5190.0,HOMBRE,TOTAL, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Cisneros,5190.0,Mujer,Menores de Edad (<18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Cisneros,5190.0,Mujer,Mayores de Edad (>18 años), -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 
Antioquia , Cisneros,5190.0,MUJER,TOTAL, -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 
Antioquia , Cisneros,5190.0,TOTAL,, -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 
Antioquia , Cocorná,5197.0,Hombre,Menores de Edad (<18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Cocorná,5197.0,Hombre,Mayores de Edad (>18 años), -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 
Antioquia , Cocorná,5197.0,HOMBRE,TOTAL, -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 
Antioquia , Cocorná,5197.0,Mujer,Menores de Edad (<18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Cocorná,5197.0,Mujer,Mayores de Edad (>18 años), -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 
Antioquia , Cocorná,5197.0,MUJER,TOTAL, -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 
Antioquia , Cocorná,5197.0,TOTAL,, -   , -   , -   , -   , -   , -   , -   , -   , 2 , 2 
Antioquia , Concepción,5206.0,Hombre,Menores de Edad (<18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Concepción,5206.0,Hombre,Mayores de Edad (>18 años), -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 
Antioquia , Concepción,5206.0,HOMBRE,TOTAL, -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 
Antioquia , Concepción,5206.0,Mujer,Menores de Edad (<18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Concepción,5206.0,Mujer,Mayores de Edad (>18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Concepción,5206.0,MUJER,TOTAL, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Concepción,5206.0,TOTAL,, -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 
Antioquia , Copacabana,5212.0,Hombre,Menores de Edad (<18 años), -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 
Antioquia , Copacabana,5212.0,Hombre,Mayores de Edad (>18 años), -   , -   , -   , -   , -   , -   , -   , -   , 2 , 2 
Antioquia , Copacabana,5212.0,HOMBRE,TOTAL, -   , -   , -   , -   , -   , -   , -   , -   , 3 , 3 
Antioquia , Copacabana,5212.0,Mujer,Menores de Edad (<18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Copacabana,5212.0,Mujer,Mayores de Edad (>18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Copacabana,5212.0,MUJER,TOTAL, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Copacabana,5212.0,TOTAL,, -   , -   , -   , -   , -   , -   , -   , -   , 3 , 3 
Antioquia , Dabeiba,5234.0,Hombre,Menores de Edad (<18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Dabeiba,5234.0,Hombre,Mayores de Edad (>18 años), -   , -   , -   , -   , -   , -   , -   , -   , 2 , 2 
Antioquia , Dabeiba,5234.0,HOMBRE,TOTAL, -   , -   , -   , -   , -   , -   , -   , -   , 2 , 2 
Antioquia , Dabeiba,5234.0,Mujer,Menores de Edad (<18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Dabeiba,5234.0,Mujer,Mayores de Edad (>18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Dabeiba,5234.0,MUJER,TOTAL, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Dabeiba,5234.0,TOTAL,, -   , -   , -   , -   , -   , -   , -   , -   , 2 , 2 
Antioquia , El Bagre,5250.0,Hombre,Menores de Edad (<18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , El Bagre,5250.0,Hombre,Mayores de Edad (>18 años), -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 
Antioquia , El Bagre,5250.0,HOMBRE,TOTAL, -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 
Antioquia , El Bagre,5250.0,Mujer,Menores de Edad (<18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , El Bagre,5250.0,Mujer,Mayores de Edad (>18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , El Bagre,5250.0,MUJER,TOTAL, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , El Bagre,5250.0,TOTAL,, -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 
Antioquia , El Carmen de Viboral,5148.0,Hombre,Menores de Edad (<18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , El Carmen de Viboral,5148.0,Hombre,Mayores de Edad (>18 años), -   , -   , 1 , -   , -   , -   , -   , -   , -   , 1 
Antioquia , El Carmen de Viboral,5148.0,HOMBRE,TOTAL, -   , -   , 1 , -   , -   , -   , -   , -   , -   , 1 
Antioquia , El Carmen de Viboral,5148.0,Mujer,Menores de Edad (<18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , El Carmen de Viboral,5148.0,Mujer,Mayores de Edad (>18 años), -   , -   , -   , 1 , -   , -   , -   , -   , 1 , 2 
Antioquia , El Carmen de Viboral,5148.0,MUJER,TOTAL, -   , -   , -   , 1 , -   , -   , -   , -   , 1 , 2 
Antioquia , El Carmen de Viboral,5148.0,TOTAL,, -   , -   , 1 , 1 , -   , -   , -   , -   , 1 , 3 
Antioquia , El Santuario,5697.0,Hombre,Menores de Edad (<18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , El Santuario,5697.0,Hombre,Mayores de Edad (>18 años), -   , -   , -   , -   , -   , -   , -   , 1 , 1 , 2 
Antioquia , El Santuario,5697.0,HOMBRE,TOTAL, -   , -   , -   , -   , -   , -   , -   , 1 , 1 , 2 
Antioquia , El Santuario,5697.0,Mujer,Menores de Edad (<18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , El Santuario,5697.0,Mujer,Mayores de Edad (>18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , El Santuario,5697.0,MUJER,TOTAL, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , El Santuario,5697.0,TOTAL,, -   , -   , -   , -   , -   , -   , -   , 1 , 1 , 2 
Antioquia , Entrerríos,5264.0,Hombre,Menores de Edad (<18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Entrerríos,5264.0,Hombre,Mayores de Edad (>18 años), -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 
Antioquia , Entrerríos,5264.0,HOMBRE,TOTAL, -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 
Antioquia , Entrerríos,5264.0,Mujer,Menores de Edad (<18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Entrerríos,5264.0,Mujer,Mayores de Edad (>18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Entrerríos,5264.0,MUJER,TOTAL, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Entrerríos,5264.0,TOTAL,, -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 
Antioquia , Envigado,5266.0,Hombre,Menores de Edad (<18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Envigado,5266.0,Hombre,Mayores de Edad (>18 años), 1 , -   , -   , -   , 1 , -   , -   , 1 , 9 , 12 
Antioquia , Envigado,5266.0,HOMBRE,TOTAL, 1 , -   , -   , -   , 1 , -   , -   , 1 , 9 , 12 
Antioquia , Envigado,5266.0,Mujer,Menores de Edad (<18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Envigado,5266.0,Mujer,Mayores de Edad (>18 años), 1 , -   , -   , -   , -   , -   , -   , -   , -   , 1 
Antioquia , Envigado,5266.0,MUJER,TOTAL, 1 , -   , -   , -   , -   , -   , -   , -   , -   , 1 
Antioquia , Envigado,5266.0,TOTAL,, 2 , -   , -   , -   , 1 , -   , -   , 1 , 9 , 13 
Antioquia , Fredonia,5282.0,Hombre,Menores de Edad (<18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Fredonia,5282.0,Hombre,Mayores de Edad (>18 años), -   , -   , -   , -   , -   , -   , -   , 1 , -   , 1 
Antioquia , Fredonia,5282.0,HOMBRE,TOTAL, -   , -   , -   , -   , -   , -   , -   , 1 , -   , 1 
Antioquia , Fredonia,5282.0,Mujer,Menores de Edad (<18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Fredonia,5282.0,Mujer,Mayores de Edad (>18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Fredonia,5282.0,MUJER,TOTAL, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Fredonia,5282.0,TOTAL,, -   , -   , -   , -   , -   , -   , -   , 1 , -   , 1 
Antioquia , Frontino,5284.0,Hombre,Menores de Edad (<18 años), -   , -   , -   , 1 , -   , -   , -   , -   , -   , 1 
Antioquia , Frontino,5284.0,Hombre,Mayores de Edad (>18 años), -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 
Antioquia , Frontino,5284.0,HOMBRE,TOTAL, -   , -   , -   , 1 , -   , -   , -   , -   , 1 , 2 
Antioquia , Frontino,5284.0,Mujer,Menores de Edad (<18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Frontino,5284.0,Mujer,Mayores de Edad (>18 años), -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 
Antioquia , Frontino,5284.0,MUJER,TOTAL, -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 
Antioquia , Frontino,5284.0,TOTAL,, -   , -   , -   , 1 , -   , -   , -   , -   , 2 , 3 
Antioquia , Giraldo,5306.0,Hombre,Menores de Edad (<18 años), -   , -   , -   , -   , -   , -   , 1 , -   , -   , 1 
Antioquia , Giraldo,5306.0,Hombre,Mayores de Edad (>18 años), -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 
Antioquia , Giraldo,5306.0,HOMBRE,TOTAL, -   , -   , -   , -   , -   , -   , 1 , -   , 1 , 2 
Antioquia , Giraldo,5306.0,Mujer,Menores de Edad (<18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Giraldo,5306.0,Mujer,Mayores de Edad (>18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Giraldo,5306.0,MUJER,TOTAL, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Giraldo,5306.0,TOTAL,, -   , -   , -   , -   , -   , -   , 1 , -   , 1 , 2 
Antioquia , Girardota,5308.0,Hombre,Menores de Edad (<18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
Antioquia , Girardota,5308.0,Hombre,Mayores de Edad (>18 años), -   , -   , -   , -   , -   , -   , -   , -   , 3 , 3 
Antioquia , Girardota,5308.0,HOMBRE,TOTAL, -   , -   , -   , -   , -   , -   , -   , -   , 3 , 3 
Antioquia , Girardota,5308.0,Mujer,Menores de Edad (<18 años), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
