EXÁMENES MÉDICO LEGALES POR PRESUNTO DELITO SEXUAL EN BOGOTÁ D.C AÑO 2020 / LOCALIDAD DEL HECHO,Antonio Nariño,Antonio Nariño.1,Antonio Nariño.2,Antonio Nariño.3,Antonio Nariño.4,Antonio Nariño.5,Antonio Nariño.6,Barrios Unidos,Barrios Unidos.1,Barrios Unidos.2,Barrios Unidos.3,Barrios Unidos.4,Barrios Unidos.5,Barrios Unidos.6,Bosa,Bosa.1,Bosa.2,Bosa.3,Bosa.4,Bosa.5,Bosa.6,Chapinero,Chapinero.1,Chapinero.2,Chapinero.3,Chapinero.4,Chapinero.5,Chapinero.6,Ciudad Bolívar,Ciudad Bolívar.1,Ciudad Bolívar.2,Ciudad Bolívar.3,Ciudad Bolívar.4,Ciudad Bolívar.5,Ciudad Bolívar.6,Engativá,Engativá.1,Engativá.2,Engativá.3,Engativá.4,Engativá.5,Engativá.6,Fontibón,Fontibón.1,Fontibón.2,Fontibón.3,Fontibón.4,Fontibón.5,Fontibón.6,Kennedy,Kennedy.1,Kennedy.2,Kennedy.3,Kennedy.4,Kennedy.5,Kennedy.6,La Candelaria,La Candelaria.1,La Candelaria.2,La Candelaria.3,La Candelaria.4,La Candelaria.5,La Candelaria.6,Mártires,Mártires.1,Mártires.2,Mártires.3,Mártires.4,Mártires.5,Mártires.6,Puente Aranda,Puente Aranda.1,Puente Aranda.2,Puente Aranda.3,Puente Aranda.4,Puente Aranda.5,Puente Aranda.6,Rafael Uribe Uribe,Rafael Uribe Uribe.1,Rafael Uribe Uribe.2,Rafael Uribe Uribe.3,Rafael Uribe Uribe.4,Rafael Uribe Uribe.5,Rafael Uribe Uribe.6,San Cristóbal,San Cristóbal.1,San Cristóbal.2,San Cristóbal.3,San Cristóbal.4,San Cristóbal.5,San Cristóbal.6,Santafé,Santafé.1,Santafé.2,Santafé.3,Santafé.4,Santafé.5,Santafé.6,Suba,Suba.1,Suba.2,Suba.3,Suba.4,Suba.5,Suba.6,Teusaquillo,Teusaquillo.1,Teusaquillo.2,Teusaquillo.3,Teusaquillo.4,Teusaquillo.5,Teusaquillo.6,Tunjuelito,Tunjuelito.1,Tunjuelito.2,Tunjuelito.3,Tunjuelito.4,Tunjuelito.5,Tunjuelito.6,Usaquén,Usaquén.1,Usaquén.2,Usaquén.3,Usaquén.4,Usaquén.5,Usaquén.6,Usme,Usme.1,Usme.2,Usme.3,Usme.4,Usme.5,Usme.6,Sin información,Sin información.1,Sin información.2,Sin información.3,Sin información.4,Sin información.5,Sin información.6,CIFRA
(25 a 29),-,-,-,-,1,1,1,-,-,-,-,4,4,4,-,1,1,-,9,9,10,-,-,-,-,3,3,3,-,-,-,-,6,6,6,-,-,-,-,5,5,5,-,-,-,-,3,3,3,-,-,-,-,6,6,6,-,-,-,-,1,1,1,-,-,-,-,2,2,2,-,-,-,-,2,2,2,-,-,-,-,3,3,3,-,1,1,-,3,3,4,-,-,-,-,3,3,3,-,-,-,-,7,7,7,-,1,1,-,3,3,4,-,-,-,-,4,4,4,-,-,-,-,6,6,6,-,-,-,-,3,3,3,-,1,1,-,10,10,11,88
(30 a 34),-,-,-,-,-,-,-,-,-,-,-,2,2,2,-,-,-,-,6,6,6,-,-,-,-,1,1,1,-,-,-,-,5,5,5,-,-,-,-,5,5,5,-,-,-,-,3,3,3,-,-,-,-,6,6,6,-,-,-,-,-,-,-,-,-,-,-,3,3,3,-,1,1,-,1,1,2,-,-,-,-,4,4,4,-,-,-,-,4,4,4,-,-,-,-,2,2,2,-,-,-,-,2,2,2,-,-,-,-,2,2,2,-,-,-,-,-,-,-,-,-,-,-,4,4,4,-,-,-,-,1,1,1,-,1,1,-,5,5,6,58
(35 a 39),-,-,-,-,-,-,-,-,-,-,-,3,3,3,-,-,-,-,2,2,2,-,-,-,-,2,2,2,-,-,-,-,2,2,2,-,1,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,4,4,4,-,-,-,-,-,-,-,-,-,-,-,3,3,3,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,-,-,3,3,3,-,-,-,-,-,-,-,-,-,-,-,3,3,3,-,1,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,1,1,-,-,-,1,-,1,1,-,7,7,8,35
(40 a 44),-,-,-,-,-,-,-,-,1,1,-,-,-,1,-,-,-,-,2,2,2,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,-,-,2,2,2,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-,-,1,1,1,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,4,4,5,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,18
(45 a 49),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,1,-,-,-,-,1,1,1,-,-,-,-,1,1,1,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,2,9
(50 a 54),-,-,-,-,-,-,-,-,-,-,-,2,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,3,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6
(55 a 59),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-,-,1,1,1,5
(60 a 64),-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3
(65 a 69),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
(70 a 74),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,1,2
(75 a 79),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
(80 y más),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,2
TOTAL,4,-,4,22,7,29,33,5,1,6,24,15,39,45,53,4,57,287,44,331,388,2,1,3,12,10,22,25,66,-,66,315,39,354,420,44,3,47,191,36,227,274,10,1,11,71,15,86,97,58,5,63,283,46,329,392,2,-,2,6,1,7,9,7,-,7,38,17,55,62,10,2,12,46,16,62,74,14,5,19,128,24,152,171,36,3,39,190,32,222,261,6,-,6,42,7,49,55,49,4,53,220,51,271,324,4,2,6,16,15,31,37,7,-,7,55,11,66,73,18,1,19,84,25,109,128,39,2,41,161,13,174,215,61,14,75,303,54,357,432,3515
VARIABLE: GRUPO EDAD JUDICIAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(00 a 04),2,-,2,2,-,2,4,1,-,1,4,-,4,5,15,-,15,29,-,29,44,1,-,1,1,-,1,2,15,-,15,33,-,33,48,8,-,8,17,-,17,25,2,-,2,8,-,8,10,14,-,14,39,-,39,53,-,-,-,-,-,-,-,1,-,1,3,-,3,4,2,-,2,4,-,4,6,2,-,2,12,-,12,14,15,-,15,13,-,13,28,3,-,3,10,-,10,13,5,-,5,19,-,19,24,1,-,1,5,-,5,6,3,-,3,5,-,5,8,3,-,3,10,-,10,13,7,-,7,11,-,11,18,7,-,7,44,-,44,51,376
(05 a 09),-,-,-,4,-,4,4,2,-,2,3,-,3,5,19,-,19,73,-,73,92,-,-,-,2,-,2,2,22,-,22,81,-,81,103,20,-,20,50,-,50,70,3,-,3,15,-,15,18,21,-,21,65,-,65,86,-,-,-,1,-,1,1,3,-,3,13,-,13,16,3,-,3,8,-,8,11,3,-,3,18,-,18,21,13,-,13,40,-,40,53,1,-,1,5,-,5,6,16,-,16,51,-,51,67,-,-,-,6,-,6,6,-,-,-,11,-,11,11,6,-,6,15,-,15,21,15,-,15,45,-,45,60,30,-,30,81,-,81,111,764
(10 a 13),-,-,-,11,-,11,11,1,-,1,9,-,9,10,11,-,11,110,-,110,121,-,-,-,5,-,5,5,15,-,15,117,-,117,132,8,-,8,60,-,60,68,3,-,3,24,-,24,27,16,-,16,105,-,105,121,1,-,1,5,-,5,6,1,-,1,9,-,9,10,2,-,2,17,-,17,19,5,-,5,64,-,64,69,5,-,5,80,-,80,85,1,-,1,15,-,15,16,13,-,13,79,-,79,92,2,-,2,3,-,3,5,3,-,3,24,-,24,27,4,-,4,32,-,32,36,13,-,13,58,-,58,71,16,-,16,92,-,92,108,1039
(14 a 17),2,-,2,5,-,5,7,1,-,1,8,-,8,9,8,-,8,75,-,75,83,1,-,1,4,-,4,5,14,-,14,84,-,84,98,8,-,8,64,-,64,72,2,-,2,24,-,24,26,7,-,7,74,-,74,81,1,-,1,-,-,-,1,2,-,2,13,-,13,15,3,-,3,17,-,17,20,4,-,4,34,-,34,38,3,-,3,57,-,57,60,1,-,1,12,-,12,13,15,-,15,71,-,71,86,1,-,1,2,-,2,3,1,-,1,15,-,15,16,5,-,5,27,-,27,32,4,-,4,47,-,47,51,8,-,8,86,-,86,94,810
(18 a 19),-,-,-,-,4,4,4,-,-,-,-,-,-,-,-,3,3,-,13,13,16,-,-,-,-,1,1,1,-,-,-,-,10,10,10,-,1,1,-,11,11,12,-,-,-,-,3,3,3,-,3,3,-,15,15,18,-,-,-,-,-,-,-,-,-,-,-,3,3,3,-,-,-,-,3,3,3,-,1,1,-,6,6,7,-,-,-,-,12,12,12,-,-,-,-,-,-,-,-,-,-,-,14,14,14,-,-,-,-,2,2,2,-,-,-,-,1,1,1,-,1,1,-,4,4,5,-,-,-,-,4,4,4,-,2,2,-,10,10,12,127
(20 a 24),-,-,-,-,2,2,2,-,-,-,-,3,3,3,-,-,-,-,9,9,9,-,1,1,-,2,2,3,-,-,-,-,13,13,13,-,1,1,-,14,14,15,-,1,1,-,6,6,7,-,2,2,-,12,12,14,-,-,-,-,-,-,-,-,-,-,-,4,4,4,-,1,1,-,5,5,6,-,2,2,-,10,10,12,-,2,2,-,5,5,7,-,-,-,-,1,1,1,-,3,3,-,19,19,22,-,-,-,-,7,7,7,-,-,-,-,5,5,5,-,-,-,-,10,10,10,-,1,1,-,4,4,5,-,6,6,-,18,18,24,169
(25 a 28),-,-,-,-,1,1,1,-,-,-,-,4,4,4,-,1,1,-,7,7,8,-,-,-,-,3,3,3,-,-,-,-,4,4,4,-,-,-,-,5,5,5,-,-,-,-,2,2,2,-,-,-,-,6,6,6,-,-,-,-,-,-,-,-,-,-,-,2,2,2,-,-,-,-,1,1,1,-,-,-,-,2,2,2,-,-,-,-,3,3,3,-,-,-,-,3,3,3,-,-,-,-,4,4,4,-,1,1,-,3,3,4,-,-,-,-,4,4,4,-,-,-,-,5,5,5,-,-,-,-,3,3,3,-,1,1,-,10,10,11,75
(29 a 34),-,-,-,-,-,-,-,-,-,-,-,2,2,2,-,-,-,-,8,8,8,-,-,-,-,1,1,1,-,-,-,-,7,7,7,-,-,-,-,5,5,5,-,-,-,-,4,4,4,-,-,-,-,6,6,6,-,-,-,-,1,1,1,-,-,-,-,3,3,3,-,1,1,-,2,2,3,-,-,-,-,5,5,5,-,1,1,-,4,4,5,-,-,-,-,2,2,2,-,-,-,-,5,5,5,-,-,-,-,2,2,2,-,-,-,-,-,-,-,-,-,-,-,5,5,5,-,-,-,-,1,1,1,-,1,1,-,5,5,6,71
(35 a 39),-,-,-,-,-,-,-,-,-,-,-,3,3,3,-,-,-,-,2,2,2,-,-,-,-,2,2,2,-,-,-,-,2,2,2,-,1,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,4,4,4,-,-,-,-,-,-,-,-,-,-,-,3,3,3,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,-,-,3,3,3,-,-,-,-,-,-,-,-,-,-,-,3,3,3,-,1,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,1,1,-,-,-,1,-,1,1,-,7,7,8,35
(40 a 44),-,-,-,-,-,-,-,-,1,1,-,-,-,1,-,-,-,-,2,2,2,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,-,-,2,2,2,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-,-,1,1,1,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,4,4,5,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,18
(45 a 49),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,1,-,-,-,-,1,1,1,-,-,-,-,1,1,1,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,2,9
