COMPORTAMIENTO DE LAS LESIONES NO FATALES POR VIOLENCIA INTERPERSONAL EN BOGOTÁ D.C AÑO 2021 / LOCALIDAD DEL HECHO,Antonio Nariño,Antonio Nariño.1,Antonio Nariño.2,Antonio Nariño.3,Antonio Nariño.4,Antonio Nariño.5,Antonio Nariño.6,Barrios Unidos,Barrios Unidos.1,Barrios Unidos.2,Barrios Unidos.3,Barrios Unidos.4,Barrios Unidos.5,Barrios Unidos.6,Bosa,Bosa.1,Bosa.2,Bosa.3,Bosa.4,Bosa.5,Bosa.6,Chapinero,Chapinero.1,Chapinero.2,Chapinero.3,Chapinero.4,Chapinero.5,Chapinero.6,Ciudad Bolívar,Ciudad Bolívar.1,Ciudad Bolívar.2,Ciudad Bolívar.3,Ciudad Bolívar.4,Ciudad Bolívar.5,Ciudad Bolívar.6,Engativá,Engativá.1,Engativá.2,Engativá.3,Engativá.4,Engativá.5,Engativá.6,Fontibón,Fontibón.1,Fontibón.2,Fontibón.3,Fontibón.4,Fontibón.5,Fontibón.6,Kennedy,Kennedy.1,Kennedy.2,Kennedy.3,Kennedy.4,Kennedy.5,Kennedy.6,La Candelaria,La Candelaria.1,La Candelaria.2,La Candelaria.3,La Candelaria.4,La Candelaria.5,La Candelaria.6,Mártires,Mártires.1,Mártires.2,Mártires.3,Mártires.4,Mártires.5,Mártires.6,Puente Aranda,Puente Aranda.1,Puente Aranda.2,Puente Aranda.3,Puente Aranda.4,Puente Aranda.5,Puente Aranda.6,Rafael Uribe Uribe,Rafael Uribe Uribe.1,Rafael Uribe Uribe.2,Rafael Uribe Uribe.3,Rafael Uribe Uribe.4,Rafael Uribe Uribe.5,Rafael Uribe Uribe.6,San Cristóbal,San Cristóbal.1,San Cristóbal.2,San Cristóbal.3,San Cristóbal.4,San Cristóbal.5,San Cristóbal.6,Santafé,Santafé.1,Santafé.2,Santafé.3,Santafé.4,Santafé.5,Santafé.6,Suba,Suba.1,Suba.2,Suba.3,Suba.4,Suba.5,Suba.6,Sumapaz,Sumapaz.1,Sumapaz.2,Sumapaz.3,Sumapaz.4,Sumapaz.5,Sumapaz.6,Teusaquillo,Teusaquillo.1,Teusaquillo.2,Teusaquillo.3,Teusaquillo.4,Teusaquillo.5,Teusaquillo.6,Tunjuelito,Tunjuelito.1,Tunjuelito.2,Tunjuelito.3,Tunjuelito.4,Tunjuelito.5,Tunjuelito.6,Usaquén,Usaquén.1,Usaquén.2,Usaquén.3,Usaquén.4,Usaquén.5,Usaquén.6,Usme,Usme.1,Usme.2,Usme.3,Usme.4,Usme.5,Usme.6,Sin información,Sin información.1,Sin información.2,Sin información.3,Sin información.4,Sin información.5,Sin información.6,CIFRA
(25 a 29),-,38,38,-,15,15,53,-,56,56,-,20,20,76,-,231,231,-,99,99,330,-,71,71,-,32,32,103,-,199,199,-,90,90,289,-,156,156,-,63,63,219,-,117,117,-,37,37,154,-,382,382,-,135,135,517,-,37,37,-,16,16,53,-,124,124,-,37,37,161,-,92,92,-,27,27,119,-,97,97,-,53,53,150,-,130,130,-,53,53,183,-,57,57,-,31,31,88,-,202,202,-,86,86,288,-,-,-,-,-,-,-,-,44,44,-,12,12,56,-,51,51,-,22,22,73,-,109,109,-,26,26,135,-,158,158,-,65,65,223,-,357,357,-,62,62,419,3689
(30 a 34),-,29,29,-,14,14,43,-,28,28,-,21,21,49,-,164,164,-,65,65,229,-,50,50,-,21,21,71,-,131,131,-,73,73,204,-,129,129,-,54,54,183,-,96,96,-,27,27,123,-,294,294,-,129,129,423,-,23,23,-,6,6,29,-,81,81,-,28,28,109,-,73,73,-,15,15,88,-,73,73,-,43,43,116,-,106,106,-,39,39,145,-,55,55,-,14,14,69,-,164,164,-,54,54,218,-,-,-,-,1,1,1,-,36,36,-,13,13,49,-,31,31,-,19,19,50,-,77,77,-,31,31,108,-,103,103,-,38,38,141,-,236,236,-,53,53,289,2737
(35 a 39),-,18,18,-,5,5,23,-,22,22,-,11,11,33,-,131,131,-,51,51,182,-,47,47,-,11,11,58,-,114,114,-,56,56,170,-,83,83,-,41,41,124,-,54,54,-,21,21,75,-,219,219,-,74,74,293,-,18,18,-,4,4,22,-,72,72,-,19,19,91,-,58,58,-,16,16,74,-,58,58,-,33,33,91,-,64,64,-,28,28,92,-,37,37,-,16,16,53,-,114,114,-,47,47,161,-,-,-,-,-,-,-,-,34,34,-,17,17,51,-,33,33,-,15,15,48,-,52,52,-,23,23,75,-,71,71,-,39,39,110,-,151,151,-,34,34,185,2011
(40 a 44),-,14,14,-,8,8,22,-,21,21,-,13,13,34,-,91,91,-,60,60,151,-,20,20,-,11,11,31,-,84,84,-,38,38,122,-,61,61,-,42,42,103,-,41,41,-,27,27,68,-,146,146,-,84,84,230,-,6,6,-,5,5,11,-,37,37,-,11,11,48,-,35,35,-,10,10,45,-,39,39,-,24,24,63,-,51,51,-,31,31,82,-,11,11,-,8,8,19,-,80,80,-,46,46,126,-,-,-,-,-,-,-,-,19,19,-,7,7,26,-,22,22,-,13,13,35,-,51,51,-,14,14,65,-,48,48,-,30,30,78,-,98,98,-,25,25,123,1482
(45 a 49),-,12,12,-,4,4,16,-,23,23,-,2,2,25,-,59,59,-,35,35,94,-,12,12,-,9,9,21,-,44,44,-,29,29,73,-,42,42,-,20,20,62,-,28,28,-,13,13,41,-,104,104,-,51,51,155,-,9,9,-,3,3,12,-,34,34,-,15,15,49,-,22,22,-,5,5,27,-,24,24,-,16,16,40,-,33,33,-,14,14,47,-,10,10,-,5,5,15,-,52,52,-,33,33,85,-,-,-,-,-,-,-,-,14,14,-,4,4,18,-,21,21,-,8,8,29,-,30,30,-,10,10,40,-,27,27,-,21,21,48,-,57,57,-,14,14,71,968
(50 a 54),-,5,5,-,4,4,9,-,9,9,-,6,6,15,-,39,39,-,20,20,59,-,13,13,-,7,7,20,-,27,27,-,20,20,47,-,39,39,-,25,25,64,-,20,20,-,9,9,29,-,69,69,-,40,40,109,-,10,10,-,1,1,11,-,19,19,-,11,11,30,-,26,26,-,9,9,35,-,26,26,-,15,15,41,-,26,26,-,18,18,44,-,9,9,-,7,7,16,-,45,45,-,15,15,60,-,-,-,-,-,-,-,-,7,7,-,3,3,10,-,12,12,-,10,10,22,-,20,20,-,13,13,33,-,22,22,-,20,20,42,-,42,42,-,12,12,54,750
(55 a 59),-,8,8,-,4,4,12,-,9,9,-,1,1,10,-,30,30,-,14,14,44,-,7,7,-,5,5,12,-,29,29,-,13,13,42,-,35,35,-,17,17,52,-,13,13,-,2,2,15,-,51,51,-,19,19,70,-,1,1,-,1,1,2,-,14,14,-,2,2,16,-,14,14,-,4,4,18,-,16,16,-,13,13,29,-,35,35,-,18,18,53,-,11,11,-,6,6,17,-,27,27,-,17,17,44,-,-,-,-,-,-,-,-,8,8,-,9,9,17,-,8,8,-,2,2,10,-,21,21,-,5,5,26,-,13,13,-,13,13,26,-,19,19,-,11,11,30,545
(60 a 64),-,7,7,-,2,2,9,-,14,14,-,4,4,18,-,16,16,-,17,17,33,-,3,3,-,-,-,3,-,26,26,-,9,9,35,-,29,29,-,12,12,41,-,9,9,-,4,4,13,-,39,39,-,19,19,58,-,3,3,-,2,2,5,-,12,12,-,1,1,13,-,11,11,-,6,6,17,-,21,21,-,10,10,31,-,19,19,-,15,15,34,-,4,4,-,3,3,7,-,19,19,-,14,14,33,-,-,-,-,-,-,-,-,2,2,-,-,-,2,-,5,5,-,4,4,9,-,16,16,-,3,3,19,-,10,10,-,3,3,13,-,17,17,-,7,7,24,417
(65 a 69),-,7,7,-,1,1,8,-,1,1,-,2,2,3,-,9,9,-,4,4,13,-,4,4,-,3,3,7,-,11,11,-,5,5,16,-,21,21,-,4,4,25,-,6,6,-,3,3,9,-,37,37,-,12,12,49,-,-,-,-,-,-,-,-,7,7,-,2,2,9,-,7,7,-,-,-,7,-,9,9,-,5,5,14,-,12,12,-,5,5,17,-,6,6,-,2,2,8,-,15,15,-,4,4,19,-,-,-,-,-,-,-,-,3,3,-,-,-,3,-,4,4,-,1,1,5,-,8,8,-,6,6,14,-,7,7,-,4,4,11,-,8,8,-,1,1,9,246
(70 a 74),-,-,-,-,1,1,1,-,1,1,-,-,-,1,-,7,7,-,1,1,8,-,1,1,-,-,-,1,-,3,3,-,1,1,4,-,9,9,-,3,3,12,-,5,5,-,-,-,5,-,14,14,-,4,4,18,-,1,1,-,-,-,1,-,3,3,-,1,1,4,-,3,3,-,3,3,6,-,3,3,-,3,3,6,-,6,6,-,5,5,11,-,3,3,-,-,-,3,-,10,10,-,1,1,11,-,-,-,-,-,-,-,-,1,1,-,-,-,1,-,4,4,-,4,4,8,-,2,2,-,2,2,4,-,9,9,-,4,4,13,-,5,5,-,2,2,7,125
(75 a 79),-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,1,1,-,1,1,2,-,1,1,-,-,-,1,-,8,8,-,1,1,9,-,3,3,-,3,3,6,-,1,1,-,-,-,1,-,4,4,-,2,2,6,-,-,-,-,-,-,-,-,2,2,-,2,2,4,-,2,2,-,-,-,2,-,-,-,-,3,3,3,-,3,3,-,1,1,4,-,1,1,-,1,1,2,-,4,4,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,1,-,-,-,-,1,1,1,-,2,2,-,1,1,3,-,1,1,-,1,1,2,52
(80 y más),-,-,-,-,-,-,-,-,1,1,-,-,-,1,-,4,4,-,-,-,4,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,2,2,-,1,1,3,-,2,2,-,1,1,3,-,3,3,-,1,1,4,-,-,-,-,-,-,-,-,2,2,-,1,1,3,-,1,1,-,1,1,2,-,4,4,-,-,-,4,-,1,1,-,-,-,1,-,-,-,-,1,1,1,-,1,1,-,1,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,1,-,2,2,-,-,-,2,-,-,-,-,1,1,1,-,1,1,-,1,1,2,35
TOTAL,14,196,210,7,74,81,291,9,246,255,4,102,106,361,79,1076,1155,48,497,545,1700,14,298,312,6,124,130,442,62,905,967,49,454,503,1470,35,788,823,22,362,384,1207,26,525,551,7,189,196,747,91,1886,1977,42,753,795,2772,3,147,150,2,48,50,200,12,557,569,11,175,186,755,17,434,451,12,138,150,601,46,494,540,25,282,307,847,60,644,704,22,312,334,1038,8,275,283,11,127,138,421,63,994,1057,26,421,447,1504,-,-,-,-,2,2,2,3,228,231,6,78,84,315,20,284,304,12,132,144,448,27,526,553,17,171,188,741,66,662,728,37,318,355,1083,142,1558,1700,28,326,354,2054,18999
VARIABLE: GRUPO EDAD JUDICIAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(00 a 04),1,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,-,-,-,2,-,2,2,1,-,1,2,-,2,3,-,-,-,-,-,-,-,3,-,3,3,-,3,6,-,-,-,-,-,-,-,1,-,1,1,-,1,2,-,-,-,-,-,-,-,1,-,1,2,-,2,3,1,-,1,-,-,-,1,-,-,-,-,-,-,-,2,-,2,1,-,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,2,2,-,2,4,1,-,1,1,-,1,2,28
(05 a 09),-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,3,-,3,4,1,-,1,-,-,-,1,1,-,1,3,-,3,4,2,-,2,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,1,-,1,1,-,1,2,1,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,-,-,-,-,-,-,-,2,-,2,1,-,1,3,20
(10 a 13),2,-,2,1,-,1,3,-,-,-,-,-,-,-,4,-,4,8,-,8,12,1,-,1,2,-,2,3,4,-,4,8,-,8,12,1,-,1,3,-,3,4,3,-,3,3,-,3,6,5,-,5,3,-,3,8,1,-,1,-,-,-,1,-,-,-,3,-,3,3,1,-,1,-,-,-,1,4,-,4,5,-,5,9,1,-,1,4,-,4,5,-,-,-,4,-,4,4,7,-,7,3,-,3,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,2,2,2,-,2,1,-,1,3,4,-,4,7,-,7,11,3,-,3,3,-,3,6,103
(14 a 17),11,-,11,6,-,6,17,9,-,9,4,-,4,13,74,-,74,37,-,37,111,12,-,12,3,-,3,15,57,-,57,36,-,36,93,31,-,31,17,-,17,48,23,-,23,4,-,4,27,83,-,83,36,-,36,119,2,-,2,2,-,2,4,11,-,11,6,-,6,17,15,-,15,11,-,11,26,40,-,40,18,-,18,58,58,-,58,18,-,18,76,8,-,8,7,-,7,15,53,-,53,22,-,22,75,-,-,-,-,-,-,-,3,-,3,6,-,6,9,20,-,20,10,-,10,30,25,-,25,15,-,15,40,60,-,60,28,-,28,88,136,-,136,23,-,23,159,1040
(18 a 19),-,15,15,-,3,3,18,-,8,8,-,4,4,12,-,62,62,-,35,35,97,-,14,14,-,3,3,17,-,46,46,-,27,27,73,-,38,38,-,16,16,54,-,30,30,-,8,8,38,-,116,116,-,42,42,158,-,11,11,-,-,-,11,-,27,27,-,6,6,33,-,19,19,-,5,5,24,-,35,35,-,13,13,48,-,29,29,-,18,18,47,-,16,16,-,7,7,23,-,60,60,-,16,16,76,-,-,-,-,-,-,-,-,13,13,-,2,2,15,-,29,29,-,5,5,34,-,30,30,-,10,10,40,-,42,42,-,12,12,54,-,140,140,-,27,27,167,1039
(20 a 24),-,43,43,-,13,13,56,-,53,53,-,17,17,70,-,232,232,-,95,95,327,-,55,55,-,21,21,76,-,183,183,-,92,92,275,-,141,141,-,61,61,202,-,103,103,-,37,37,140,-,408,408,-,141,141,549,-,28,28,-,10,10,38,-,123,123,-,39,39,162,-,71,71,-,37,37,108,-,89,89,-,51,51,140,-,129,129,-,67,67,196,-,55,55,-,26,26,81,-,201,201,-,87,87,288,-,-,-,-,1,1,1,-,47,47,-,11,11,58,-,62,62,-,29,29,91,-,108,108,-,27,27,135,-,150,150,-,67,67,217,-,426,426,-,76,76,502,3712
(25 a 28),-,33,33,-,9,9,42,-,47,47,-,18,18,65,-,186,186,-,82,82,268,-,52,52,-,29,29,81,-,177,177,-,74,74,251,-,125,125,-,50,50,175,-,95,95,-,28,28,123,-,320,320,-,115,115,435,-,31,31,-,12,12,43,-,110,110,-,34,34,144,-,76,76,-,24,24,100,-,86,86,-,46,46,132,-,113,113,-,47,47,160,-,46,46,-,24,24,70,-,173,173,-,71,71,244,-,-,-,-,-,-,-,-,35,35,-,11,11,46,-,43,43,-,17,17,60,-,91,91,-,21,21,112,-,124,124,-,55,55,179,-,306,306,-,51,51,357,3087
(29 a 34),-,34,34,-,20,20,54,-,37,37,-,23,23,60,-,209,209,-,82,82,291,-,69,69,-,24,24,93,-,153,153,-,89,89,242,-,160,160,-,67,67,227,-,118,118,-,36,36,154,-,356,356,-,149,149,505,-,29,29,-,10,10,39,-,95,95,-,31,31,126,-,89,89,-,18,18,107,-,84,84,-,50,50,134,-,123,123,-,45,45,168,-,66,66,-,21,21,87,-,193,193,-,69,69,262,-,-,-,-,1,1,1,-,45,45,-,14,14,59,-,39,39,-,24,24,63,-,95,95,-,36,36,131,-,137,137,-,48,48,185,-,287,287,-,64,64,351,3339
