HOMICIDIOS EN COLOMBIA AÑO 2020 / DEPARTAMENTO DEL HECHO DANE,Amazonas,Amazonas.1,Amazonas.2,Amazonas.3,Amazonas.4,Amazonas.5,Amazonas.6,Amazonas.7,Amazonas.8,Amazonas.9,Antioquia,Antioquia.1,Antioquia.2,Antioquia.3,Antioquia.4,Antioquia.5,Antioquia.6,Antioquia.7,Antioquia.8,Antioquia.9,Arauca,Arauca.1,Arauca.2,Arauca.3,Arauca.4,Arauca.5,Arauca.6,Arauca.7,Arauca.8,Arauca.9,"Archipiélago de San Andrés, Providencia y Santa Catalina","Archipiélago de San Andrés, Providencia y Santa Catalina.1","Archipiélago de San Andrés, Providencia y Santa Catalina.2","Archipiélago de San Andrés, Providencia y Santa Catalina.3","Archipiélago de San Andrés, Providencia y Santa Catalina.4","Archipiélago de San Andrés, Providencia y Santa Catalina.5","Archipiélago de San Andrés, Providencia y Santa Catalina.6","Archipiélago de San Andrés, Providencia y Santa Catalina.7","Archipiélago de San Andrés, Providencia y Santa Catalina.8","Archipiélago de San Andrés, Providencia y Santa Catalina.9",Atlántico,Atlántico.1,Atlántico.2,Atlántico.3,Atlántico.4,Atlántico.5,Atlántico.6,Atlántico.7,Atlántico.8,Atlántico.9,"Bogotá, D.C.","Bogotá, D.C..1","Bogotá, D.C..2","Bogotá, D.C..3","Bogotá, D.C..4","Bogotá, D.C..5","Bogotá, D.C..6","Bogotá, D.C..7","Bogotá, D.C..8","Bogotá, D.C..9",Bolívar,Bolívar.1,Bolívar.2,Bolívar.3,Bolívar.4,Bolívar.5,Bolívar.6,Bolívar.7,Bolívar.8,Bolívar.9,Boyacá,Boyacá.1,Boyacá.2,Boyacá.3,Boyacá.4,Boyacá.5,Boyacá.6,Boyacá.7,Boyacá.8,Boyacá.9,Caldas,Caldas.1,Caldas.2,Caldas.3,Caldas.4,Caldas.5,Caldas.6,Caldas.7,Caldas.8,Caldas.9,Caquetá,Caquetá.1,Caquetá.2,Caquetá.3,Caquetá.4,Caquetá.5,Caquetá.6,Caquetá.7,Caquetá.8,Caquetá.9,Casanare,Casanare.1,Casanare.2,Casanare.3,Casanare.4,Casanare.5,Casanare.6,Casanare.7,Casanare.8,Casanare.9,Cauca,Cauca.1,Cauca.2,Cauca.3,Cauca.4,Cauca.5,Cauca.6,Cauca.7,Cauca.8,Cauca.9,Cesar,Cesar.1,Cesar.2,Cesar.3,Cesar.4,Cesar.5,Cesar.6,Cesar.7,Cesar.8,Cesar.9,Chocó,Chocó.1,Chocó.2,Chocó.3,Chocó.4,Chocó.5,Chocó.6,Chocó.7,Chocó.8,Chocó.9,Córdoba,Córdoba.1,Córdoba.2,Córdoba.3,Córdoba.4,Córdoba.5,Córdoba.6,Córdoba.7,Córdoba.8,Córdoba.9,Cundinamarca,Cundinamarca.1,Cundinamarca.2,Cundinamarca.3,Cundinamarca.4,Cundinamarca.5,Cundinamarca.6,Cundinamarca.7,Cundinamarca.8,Cundinamarca.9,Guainía,Guainía.1,Guainía.2,Guainía.3,Guainía.4,Guainía.5,Guainía.6,Guainía.7,Guainía.8,Guainía.9,Guaviare,Guaviare.1,Guaviare.2,Guaviare.3,Guaviare.4,Guaviare.5,Guaviare.6,Guaviare.7,Guaviare.8,Guaviare.9,Huila,Huila.1,Huila.2,Huila.3,Huila.4,Huila.5,Huila.6,Huila.7,Huila.8,Huila.9,La Guajira,La Guajira.1,La Guajira.2,La Guajira.3,La Guajira.4,La Guajira.5,La Guajira.6,La Guajira.7,La Guajira.8,La Guajira.9,Magdalena,Magdalena.1,Magdalena.2,Magdalena.3,Magdalena.4,Magdalena.5,Magdalena.6,Magdalena.7,Magdalena.8,Magdalena.9,Meta,Meta.1,Meta.2,Meta.3,Meta.4,Meta.5,Meta.6,Meta.7,Meta.8,Meta.9,Nariño,Nariño.1,Nariño.2,Nariño.3,Nariño.4,Nariño.5,Nariño.6,Nariño.7,Nariño.8,Nariño.9,Norte de Santander,Norte de Santander.1,Norte de Santander.2,Norte de Santander.3,Norte de Santander.4,Norte de Santander.5,Norte de Santander.6,Norte de Santander.7,Norte de Santander.8,Norte de Santander.9,Putumayo,Putumayo.1,Putumayo.2,Putumayo.3,Putumayo.4,Putumayo.5,Putumayo.6,Putumayo.7,Putumayo.8,Putumayo.9,Quindío,Quindío.1,Quindío.2,Quindío.3,Quindío.4,Quindío.5,Quindío.6,Quindío.7,Quindío.8,Quindío.9,Risaralda,Risaralda.1,Risaralda.2,Risaralda.3,Risaralda.4,Risaralda.5,Risaralda.6,Risaralda.7,Risaralda.8,Risaralda.9,Santander,Santander.1,Santander.2,Santander.3,Santander.4,Santander.5,Santander.6,Santander.7,Santander.8,Santander.9,Sucre,Sucre.1,Sucre.2,Sucre.3,Sucre.4,Sucre.5,Sucre.6,Sucre.7,Sucre.8,Sucre.9,Tolima,Tolima.1,Tolima.2,Tolima.3,Tolima.4,Tolima.5,Tolima.6,Tolima.7,Tolima.8,Tolima.9,Valle del Cauca,Valle del Cauca.1,Valle del Cauca.2,Valle del Cauca.3,Valle del Cauca.4,Valle del Cauca.5,Valle del Cauca.6,Valle del Cauca.7,Valle del Cauca.8,Valle del Cauca.9,Vaupés,Vaupés.1,Vaupés.2,Vaupés.3,Vaupés.4,Vaupés.5,Vaupés.6,Vaupés.7,Vaupés.8,Vaupés.9,Vichada,Vichada.1,Vichada.2,Vichada.3,Vichada.4,Vichada.5,Vichada.6,Vichada.7,Vichada.8,Vichada.9,CIFRA
VARIABLE: ESTADO CIVIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soltero(a),-,7,7,-,1,1,-,-,-,8,82,748,830,8,57,65,-,-,-,895,2,38,40,-,1,1,-,-,-,41,1,12,13,-,-,-,-,-,-,13,11,143,154,1,8,9,-,-,-,163,29,459,488,4,53,57,-,-,-,545,12,139,151,1,7,8,-,-,-,159,1,25,26,-,2,2,-,-,-,28,6,77,83,-,5,5,-,-,-,88,1,44,45,-,-,-,-,-,-,45,4,34,38,1,1,2,-,-,-,40,32,299,331,4,20,24,-,-,-,355,3,63,66,1,4,5,-,-,-,71,8,81,89,3,2,5,-,-,-,94,5,73,78,1,4,5,-,-,-,83,11,86,97,-,9,9,-,-,-,106,-,1,1,-,-,-,-,-,-,1,-,4,4,-,-,-,-,-,-,4,14,74,88,1,3,4,-,-,-,92,5,58,63,1,2,3,-,-,-,66,4,84,88,1,5,6,-,-,-,94,9,92,101,-,10,10,-,-,-,111,8,87,95,1,16,17,-,-,-,112,8,189,197,1,12,13,-,-,-,210,7,46,53,2,5,7,-,-,-,60,4,81,85,1,4,5,-,-,-,90,4,84,88,1,4,5,-,-,-,93,9,127,136,-,13,13,-,-,-,149,4,35,39,-,4,4,-,-,-,43,10,77,87,1,5,6,-,-,-,93,85,838,923,6,60,66,-,-,-,989,-,2,2,-,-,-,-,-,-,2,-,3,3,-,-,-,-,-,-,3,4946
Unión libre,-,4,4,-,1,1,-,-,-,5,3,390,393,4,36,40,-,-,-,433,-,32,32,-,4,4,-,-,-,36,-,15,15,1,-,1,-,-,-,16,1,203,204,1,14,15,-,-,-,219,4,310,314,-,20,20,-,-,-,334,3,164,167,1,13,14,-,-,-,181,-,24,24,-,3,3,-,-,-,27,1,37,38,-,2,2,-,-,-,40,-,52,52,-,4,4,-,-,-,56,-,22,22,-,4,4,-,-,-,26,-,270,270,1,23,24,-,-,-,294,2,98,100,2,9,11,-,-,-,111,1,69,70,-,6,6,-,-,-,76,-,105,105,-,12,12,-,-,-,117,-,49,49,-,11,11,-,-,-,60,-,-,-,-,-,-,-,-,-,-,-,7,7,-,-,-,-,-,-,7,1,72,73,1,7,8,-,-,-,81,-,91,91,-,6,6,-,-,-,97,1,119,120,-,7,7,-,-,-,127,1,74,75,-,7,7,-,-,-,82,1,93,94,1,3,4,-,-,-,98,-,200,200,-,7,7,-,-,-,207,-,69,69,-,9,9,-,-,-,78,1,41,42,-,6,6,-,-,-,48,-,70,70,-,5,5,-,-,-,75,2,84,86,-,6,6,-,-,-,92,-,73,73,-,4,4,-,-,-,77,-,61,61,-,5,5,-,-,-,66,3,558,561,-,34,34,-,-,-,595,-,-,-,-,-,-,-,-,-,-,-,3,3,-,1,1,-,-,-,4,3765
Casado(a),-,-,-,-,-,-,-,-,-,-,-,99,99,-,4,4,-,-,-,103,-,8,8,-,1,1,-,-,-,9,-,7,7,-,-,-,-,-,-,7,-,34,34,-,1,1,-,-,-,35,-,59,59,-,2,2,-,-,-,61,-,25,25,-,1,1,-,-,-,26,-,5,5,-,3,3,-,-,-,8,-,8,8,-,2,2,-,-,-,10,-,12,12,-,1,1,-,-,-,13,-,5,5,-,1,1,-,-,-,6,-,42,42,-,6,6,-,-,-,48,-,13,13,-,-,-,-,-,-,13,-,3,3,-,1,1,-,-,-,4,-,6,6,-,-,-,-,-,-,6,-,10,10,-,-,-,-,-,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,22,22,-,1,1,-,-,-,23,-,6,6,-,-,-,-,-,-,6,-,13,13,-,1,1,-,-,-,14,-,7,7,-,1,1,-,-,-,8,-,23,23,-,4,4,-,-,-,27,-,28,28,-,2,2,-,-,-,30,-,6,6,-,-,-,-,-,-,6,-,6,6,-,-,-,-,-,-,6,-,15,15,-,-,-,-,-,-,15,-,18,18,-,3,3,-,-,-,21,-,7,7,-,-,-,-,-,-,7,-,13,13,-,-,-,-,-,-,13,-,98,98,-,10,10,-,-,-,108,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,643
"Separado(a), divorciado(a)",-,-,-,-,-,-,-,-,-,-,-,17,17,-,7,7,-,-,-,24,-,1,1,-,2,2,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,5,5,-,2,2,-,-,-,7,-,26,26,-,2,2,-,-,-,28,-,6,6,-,2,2,-,-,-,8,-,1,1,-,-,-,-,-,-,1,-,1,1,-,-,-,-,-,-,1,-,6,6,-,2,2,-,-,-,8,-,2,2,-,1,1,-,-,-,3,-,7,7,-,2,2,-,-,-,9,-,1,1,-,-,-,-,-,-,1,-,1,1,-,1,1,-,-,-,2,-,2,2,-,1,1,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19,19,-,2,2,-,-,-,21,-,2,2,-,-,-,-,-,-,2,-,1,1,-,2,2,-,-,-,3,-,2,2,-,1,1,-,-,-,3,-,3,3,-,2,2,-,-,-,5,-,21,21,-,6,6,-,-,-,27,-,2,2,-,-,-,-,-,-,2,-,1,1,-,3,3,-,-,-,4,-,13,13,-,-,-,-,-,-,13,-,5,5,-,2,2,-,-,-,7,-,-,-,-,-,-,-,-,-,-,-,6,6,-,2,2,-,-,-,8,-,50,50,-,9,9,-,-,-,59,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,1,253
Viudo(a),-,-,-,-,-,-,-,-,-,-,-,9,9,-,1,1,-,-,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,-,1,1,-,-,-,5,-,2,2,-,4,4,-,-,-,6,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,1,-,1,1,-,1,1,-,-,-,2,-,1,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,2,2,-,2,2,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,1,1,-,-,-,3,-,1,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,-,-,-,3,-,1,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,1,-,1,1,-,-,-,-,-,-,1,-,1,1,-,3,3,-,-,-,4,-,-,-,-,1,1,-,-,-,1,-,-,-,-,1,1,-,-,-,1,-,1,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,1,-,1,1,-,-,-,-,-,-,1,-,7,7,-,3,3,-,-,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,58
No aplica,-,-,-,-,-,-,-,-,-,-,3,-,3,1,-,1,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,3,-,-,-,3,2,-,2,4,-,4,-,-,-,6,1,-,1,1,-,1,-,-,-,2,2,-,2,1,-,1,-,-,-,3,1,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,2,-,2,2,-,2,-,-,-,4,3,-,3,5,-,5,-,-,-,8,1,-,1,2,-,2,-,-,-,3,1,-,1,-,-,-,-,-,-,1,1,-,1,-,-,-,-,-,-,1,3,-,3,2,-,2,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,2,-,-,-,2,2,-,2,1,-,1,-,-,-,3,1,-,1,-,-,-,-,-,-,1,-,-,-,2,-,2,-,-,-,2,-,-,-,1,-,1,-,-,-,1,1,-,1,1,-,1,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,1,-,-,-,3,-,3,-,-,-,3,1,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,4,-,4,1,-,1,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,62
Sin información,-,-,-,-,-,-,-,-,-,-,8,344,352,4,14,18,-,1,1,371,1,5,6,-,1,1,-,-,-,7,-,2,2,-,-,-,-,-,-,2,4,88,92,1,6,7,-,-,-,99,-,54,54,1,5,6,-,-,-,60,2,34,36,-,2,2,-,-,-,38,-,10,10,-,-,-,-,-,-,10,-,8,8,-,-,-,-,-,-,8,-,16,16,-,2,2,1,-,1,19,-,7,7,-,-,-,-,-,-,7,-,20,20,-,2,2,-,-,-,22,1,17,18,-,1,1,-,-,-,19,2,29,31,-,2,2,-,-,-,33,-,25,25,-,3,3,-,-,-,28,10,136,146,-,12,12,-,-,-,158,-,3,3,-,1,1,-,-,-,4,-,6,6,-,1,1,-,-,-,7,-,16,16,-,1,1,-,-,-,17,-,11,11,-,-,-,-,-,-,11,-,40,40,-,8,8,-,-,-,48,1,64,65,-,4,4,-,-,-,69,6,115,121,1,6,7,-,-,-,128,-,110,110,1,5,6,-,-,-,116,2,8,10,-,-,-,-,-,-,10,-,15,15,-,-,-,-,-,-,15,-,8,8,-,1,1,-,-,-,9,-,19,19,-,1,1,-,-,-,20,-,1,1,-,1,1,-,-,-,2,1,32,33,-,2,2,-,-,-,35,10,191,201,1,18,19,-,-,-,220,-,-,-,-,1,1,-,-,-,1,-,5,5,-,1,1,-,-,-,6,1599
TOTAL,-,11,11,-,2,2,-,-,-,13,96,1607,1703,17,119,136,-,1,1,1840,3,84,87,-,9,9,-,-,-,96,1,36,37,1,-,1,-,-,-,38,16,477,493,6,32,38,-,-,-,531,35,910,945,9,86,95,-,-,-,1040,18,368,386,3,25,28,-,-,-,414,3,66,69,1,8,9,-,-,-,78,8,132,140,-,10,10,-,-,-,150,1,131,132,-,9,9,1,-,1,142,6,70,76,3,7,10,-,-,-,86,35,640,675,10,55,65,-,-,-,740,7,192,199,5,14,19,-,-,-,218,12,183,195,3,12,15,-,-,-,210,6,213,219,1,21,22,-,-,-,241,24,282,306,2,32,34,-,-,-,340,-,4,4,-,1,1,-,-,-,5,-,17,17,-,1,1,-,-,-,18,15,203,218,4,17,21,-,-,-,239,7,169,176,2,8,10,-,-,-,186,6,257,263,1,23,24,-,-,-,287,11,239,250,2,24,26,-,-,-,276,15,322,337,4,31,35,-,-,-,372,9,549,558,3,35,38,-,-,-,596,9,131,140,2,15,17,-,-,-,157,5,144,149,1,14,15,-,-,-,164,5,191,196,1,10,11,-,-,-,207,11,253,264,3,25,28,-,-,-,292,5,117,122,-,9,9,-,-,-,131,11,190,201,1,14,15,-,-,-,216,102,1742,1844,8,134,142,-,-,-,1986,-,2,2,-,1,1,-,-,-,3,-,12,12,-,2,2,-,-,-,14,11326
VARIABLE: FACTOR DE VULNERABILIDAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campesinos (as) y/o trabajadores (as) del campo,-,-,-,-,-,-,-,-,-,-,2,45,47,-,1,1,-,-,-,48,-,29,29,-,1,1,-,-,-,30,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,1,-,1,1,-,-,-,-,-,-,1,-,10,10,-,-,-,-,-,-,10,-,7,7,-,2,2,-,-,-,9,-,13,13,-,-,-,-,-,-,13,-,8,8,-,1,1,-,-,-,9,-,4,4,-,-,-,-,-,-,4,1,42,43,1,3,4,-,-,-,47,-,6,6,-,-,-,-,-,-,6,-,1,1,-,-,-,-,-,-,1,-,3,3,-,-,-,-,-,-,3,-,7,7,-,-,-,-,-,-,7,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,1,3,40,43,-,3,3,-,-,-,46,-,1,1,-,-,-,-,-,-,1,-,7,7,-,-,-,-,-,-,7,1,7,8,-,-,-,-,-,-,8,-,9,9,-,1,1,-,-,-,10,-,7,7,-,-,-,-,-,-,7,1,12,13,1,1,2,-,-,-,15,-,6,6,-,-,-,-,-,-,6,-,13,13,-,-,-,-,-,-,13,-,14,14,-,1,1,-,-,-,15,-,3,3,-,-,-,-,-,-,3,-,15,15,-,-,-,-,-,-,15,-,41,41,-,-,-,-,-,-,41,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,377
Comunidad LGBT,-,1,1,-,-,-,-,-,-,1,1,14,15,-,-,-,-,-,-,15,-,-,-,-,1,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,3,3,-,2,2,-,-,-,5,-,2,2,-,-,-,-,-,-,2,-,3,3,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,2,-,2,2,-,1,1,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,1,-,1,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,-,-,-,-,-,-,3,-,1,1,-,-,-,-,-,-,1,-,3,3,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,5,5,-,-,-,-,-,-,5,-,4,4,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,8,-,-,-,-,-,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,61
Concejales,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3
Discapacitados,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
Ex convictos (as),-,-,-,-,-,-,-,-,-,-,-,5,5,-,-,-,-,-,-,5,-,1,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,3,3,-,-,-,-,-,-,3,-,3,3,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,1,-,1,1,-,-,-,-,-,-,1,-,1,1,-,-,-,-,-,-,1,-,3,3,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,1,-,2,2,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,1,-,1,1,-,-,-,-,-,-,1,-,9,9,-,-,-,-,-,-,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,36
Funcionarios judiciales,-,-,-,-,-,-,-,-,-,-,-,4,4,-,-,-,-,-,-,4,-,1,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,3,3,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,1,-,2,2,-,-,-,-,-,-,2,-,1,1,-,-,-,-,-,-,1,-,1,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,1,-,6,6,-,-,-,-,-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,6,-,-,-,-,-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27
Grupos étnicos,-,-,-,-,-,-,-,-,-,-,3,20,23,1,6,7,-,-,-,30,1,3,4,-,1,1,-,-,-,5,-,10,10,-,-,-,-,-,-,10,-,2,2,-,-,-,-,-,-,2,-,4,4,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,-,-,-,-,-,-,4,-,3,3,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,11,132,143,3,12,15,-,-,-,158,-,3,3,1,-,1,-,-,-,4,9,101,110,3,6,9,-,-,-,119,-,2,2,-,-,-,-,-,-,2,-,3,3,-,1,1,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,1,-,1,1,1,-,1,-,-,-,2,2,9,11,1,-,1,-,-,-,12,-,1,1,-,-,-,-,-,-,1,1,2,3,-,-,-,-,-,-,3,3,65,68,-,-,-,-,-,-,68,-,2,2,-,-,-,-,-,-,2,2,10,12,-,1,1,-,-,-,13,-,-,-,-,-,-,-,-,-,-,1,8,9,-,-,-,-,-,-,9,-,-,-,-,-,-,-,-,-,-,1,9,10,-,-,-,-,-,-,10,1,1,2,-,-,-,-,-,-,2,7,55,62,-,7,7,-,-,-,69,-,-,-,-,1,1,-,-,-,1,-,-,-,-,1,1,-,-,-,1,539
