Departamento,Municipio,CÓDIGOS DIVIPOLA,SEXO,VARIABLE / MAYOR DE EDAD (> 18 AÑOS) O MENOR DE EDAD (< 18 AÑOS),00:00 a 02:59,03:00 a 05:59,06:00 a 08:59,09:00 a 11:59,12:00 a 14:59,15:00 a 17:59,18:00 a 20:59,21:00 a 23:59,Sin información,TOTAL
Antioquia , Amalfi,5031.0,Hombre,Mayores de Edad (>18 años), - , 1 , - , - , - , 2 , - , 1 , 1 , 5 
Antioquia , Amalfi,5031.0,HOMBRE,TOTAL, - , 1 , - , - , - , 2 , - , 1 , 1 , 5 
Antioquia , Amalfi,5031.0,Mujer,Menores de Edad (<18 años), - , - , - , - , - , - , - , - , - , - 
Antioquia , Amalfi,5031.0,Mujer,Mayores de Edad (>18 años), 1 , - , - , - , - , - , - , - , - , 1 
Antioquia , Amalfi,5031.0,MUJER,TOTAL, 1 , - , - , - , - , - , - , - , - , 1 
Antioquia , Amalfi,5031.0,Indeterminado,Menores de Edad (<18 años), - , - , - , - , - , - , - , - , - , - 
Antioquia , Amalfi,5031.0,Indeterminado,Mayores de Edad (>18 años), - , - , - , - , - , - , - , - , - , - 
Antioquia , Amalfi,5031.0,INDETERMINADO,TOTAL, - , - , - , - , - , - , - , - , - , - 
Antioquia , Amalfi,5031.0,TOTAL,, 1 , 1 , - , - , - , 2 , - , 1 , 1 , 6 
Antioquia , Andes,5034.0,Hombre,Menores de Edad (<18 años), 1 , - , 1 , - , - , - , 1 , - , - , 3 
Antioquia , Andes,5034.0,Hombre,Mayores de Edad (>18 años), 1 , 5 , 2 , 1 , 1 , 4 , 10 , 2 , 10 , 36 
Antioquia , Andes,5034.0,HOMBRE,TOTAL, 2 , 5 , 3 , 1 , 1 , 4 , 11 , 2 , 10 , 39 
Antioquia , Andes,5034.0,Mujer,Menores de Edad (<18 años), - , - , - , - , - , - , - , - , 1 , 1 
Antioquia , Andes,5034.0,Mujer,Mayores de Edad (>18 años), - , - , - , 1 , - , - , - , - , - , 1 
Antioquia , Andes,5034.0,MUJER,TOTAL, - , - , - , 1 , - , - , - , - , 1 , 2 
Antioquia , Andes,5034.0,Indeterminado,Menores de Edad (<18 años), - , - , - , - , - , - , - , - , - , - 
Antioquia , Andes,5034.0,Indeterminado,Mayores de Edad (>18 años), - , - , - , - , - , - , - , - , - , - 
Antioquia , Andes,5034.0,INDETERMINADO,TOTAL, - , - , - , - , - , - , - , - , - , - 
Antioquia , Andes,5034.0,TOTAL,, 2 , 5 , 3 , 2 , 1 , 4 , 11 , 2 , 11 , 41 
Antioquia , Angelópolis,5036.0,Hombre,Menores de Edad (<18 años), - , - , - , - , - , - , - , - , - , - 
Antioquia , Angelópolis,5036.0,Hombre,Mayores de Edad (>18 años), 1 , - , - , - , - , - , 2 , 2 , - , 5 
Antioquia , Angelópolis,5036.0,HOMBRE,TOTAL, 1 , - , - , - , - , - , 2 , 2 , - , 5 
Antioquia , Angelópolis,5036.0,Mujer,Menores de Edad (<18 años), - , - , - , - , - , - , - , - , - , - 
Antioquia , Angelópolis,5036.0,Mujer,Mayores de Edad (>18 años), - , - , - , - , - , - , - , - , 1 , 1 
Antioquia , Angelópolis,5036.0,MUJER,TOTAL, - , - , - , - , - , - , - , - , 1 , 1 
Antioquia , Angelópolis,5036.0,Indeterminado,Menores de Edad (<18 años), - , - , - , - , - , - , - , - , - , - 
Antioquia , Angelópolis,5036.0,Indeterminado,Mayores de Edad (>18 años), - , - , - , - , - , - , - , - , - , - 
Antioquia , Angelópolis,5036.0,INDETERMINADO,TOTAL, - , - , - , - , - , - , - , - , - , - 
Antioquia , Angelópolis,5036.0,TOTAL,, 1 , - , - , - , - , - , 2 , 2 , 1 , 6 
Antioquia , Angostura,5038.0,Hombre,Menores de Edad (<18 años), - , - , - , - , - , - , - , - , - , - 
Antioquia , Angostura,5038.0,Hombre,Mayores de Edad (>18 años), 2 , 3 , - , - , - , - , 1 , 1 , - , 7 
Antioquia , Angostura,5038.0,HOMBRE,TOTAL, 2 , 3 , - , - , - , - , 1 , 1 , - , 7 
Antioquia , Angostura,5038.0,Mujer,Menores de Edad (<18 años), - , - , - , - , - , - , - , - , - , - 
Antioquia , Angostura,5038.0,Mujer,Mayores de Edad (>18 años), - , - , - , - , - , - , - , - , - , - 
Antioquia , Angostura,5038.0,MUJER,TOTAL, - , - , - , - , - , - , - , - , - , - 
Antioquia , Angostura,5038.0,Indeterminado,Menores de Edad (<18 años), - , - , - , - , - , - , - , - , - , - 
Antioquia , Angostura,5038.0,Indeterminado,Mayores de Edad (>18 años), - , - , - , - , - , - , - , - , - , - 
Antioquia , Angostura,5038.0,INDETERMINADO,TOTAL, - , - , - , - , - , - , - , - , - , - 
Antioquia , Angostura,5038.0,TOTAL,, 2 , 3 , - , - , - , - , 1 , 1 , - , 7 
Antioquia , Anorí,5040.0,Hombre,Menores de Edad (<18 años), - , - , - , - , - , - , - , - , 1 , 1 
Antioquia , Anorí,5040.0,Hombre,Mayores de Edad (>18 años), 1 , 1 , 2 , 5 , 1 , - , 5 , - , 3 , 18 
Antioquia , Anorí,5040.0,HOMBRE,TOTAL, 1 , 1 , 2 , 5 , 1 , - , 5 , - , 4 , 19 
Antioquia , Anorí,5040.0,Mujer,Menores de Edad (<18 años), - , - , - , - , - , - , - , - , - , - 
Antioquia , Anorí,5040.0,Mujer,Mayores de Edad (>18 años), - , - , - , - , 1 , - , - , - , - , 1 
Antioquia , Anorí,5040.0,MUJER,TOTAL, - , - , - , - , 1 , - , - , - , - , 1 
Antioquia , Anorí,5040.0,Indeterminado,Menores de Edad (<18 años), - , - , - , - , - , - , - , - , - , - 
Antioquia , Anorí,5040.0,Indeterminado,Mayores de Edad (>18 años), - , - , - , - , - , - , - , - , - , - 
Antioquia , Anorí,5040.0,INDETERMINADO,TOTAL, - , - , - , - , - , - , - , - , - , - 
Antioquia , Anorí,5040.0,TOTAL,, 1 , 1 , 2 , 5 , 2 , - , 5 , - , 4 , 20 
Antioquia , Anzá,5044.0,Hombre,Menores de Edad (<18 años), - , - , - , - , - , - , - , - , - , - 
Antioquia , Anzá,5044.0,Hombre,Mayores de Edad (>18 años), - , - , - , - , - , 1 , - , 1 , - , 2 
Antioquia , Anzá,5044.0,HOMBRE,TOTAL, - , - , - , - , - , 1 , - , 1 , - , 2 
Antioquia , Anzá,5044.0,Mujer,Menores de Edad (<18 años), - , - , - , - , - , - , - , - , - , - 
Antioquia , Anzá,5044.0,Mujer,Mayores de Edad (>18 años), - , - , - , - , - , - , - , - , - , - 
Antioquia , Anzá,5044.0,MUJER,TOTAL, - , - , - , - , - , - , - , - , - , - 
Antioquia , Anzá,5044.0,Indeterminado,Menores de Edad (<18 años), - , - , - , - , - , - , - , - , - , - 
Antioquia , Anzá,5044.0,Indeterminado,Mayores de Edad (>18 años), - , - , - , - , - , - , - , - , - , - 
Antioquia , Anzá,5044.0,INDETERMINADO,TOTAL, - , - , - , - , - , - , - , - , - , - 
Antioquia , Anzá,5044.0,TOTAL,, - , - , - , - , - , 1 , - , 1 , - , 2 
Antioquia , Apartadó,5045.0,Hombre,Menores de Edad (<18 años), - , - , - , - , - , 1 , - , - , - , 1 
Antioquia , Apartadó,5045.0,Hombre,Mayores de Edad (>18 años), - , - , 2 , - , 3 , 1 , 2 , 2 , 1 , 11 
Antioquia , Apartadó,5045.0,HOMBRE,TOTAL, - , - , 2 , - , 3 , 2 , 2 , 2 , 1 , 12 
Antioquia , Apartadó,5045.0,Mujer,Menores de Edad (<18 años), - , - , - , - , - , - , - , - , - , - 
Antioquia , Apartadó,5045.0,Mujer,Mayores de Edad (>18 años), - , - , - , - , - , - , 2 , - , - , 2 
Antioquia , Apartadó,5045.0,MUJER,TOTAL, - , - , - , - , - , - , 2 , - , - , 2 
Antioquia , Apartadó,5045.0,Indeterminado,Menores de Edad (<18 años), - , - , - , - , - , - , - , - , - , - 
Antioquia , Apartadó,5045.0,Indeterminado,Mayores de Edad (>18 años), - , - , - , - , - , - , - , - , - , - 
Antioquia , Apartadó,5045.0,INDETERMINADO,TOTAL, - , - , - , - , - , - , - , - , - , - 
Antioquia , Apartadó,5045.0,TOTAL,, - , - , 2 , - , 3 , 2 , 4 , 2 , 1 , 14 
Antioquia , Arboletes,5051.0,Hombre,Menores de Edad (<18 años), - , - , - , - , - , - , - , - , - , - 
Antioquia , Arboletes,5051.0,Hombre,Mayores de Edad (>18 años), - , - , - , - , - , - , - , - , 1 , 1 
Antioquia , Arboletes,5051.0,HOMBRE,TOTAL, - , - , - , - , - , - , - , - , 1 , 1 
Antioquia , Arboletes,5051.0,Mujer,Menores de Edad (<18 años), - , - , - , - , - , - , - , - , - , - 
Antioquia , Arboletes,5051.0,Mujer,Mayores de Edad (>18 años), - , - , - , - , - , - , - , - , - , - 
Antioquia , Arboletes,5051.0,MUJER,TOTAL, - , - , - , - , - , - , - , - , - , - 
Antioquia , Arboletes,5051.0,Indeterminado,Menores de Edad (<18 años), - , - , - , - , - , - , - , - , - , - 
Antioquia , Arboletes,5051.0,Indeterminado,Mayores de Edad (>18 años), - , - , - , - , - , - , - , - , - , - 
Antioquia , Arboletes,5051.0,INDETERMINADO,TOTAL, - , - , - , - , - , - , - , - , - , - 
Antioquia , Arboletes,5051.0,TOTAL,, - , - , - , - , - , - , - , - , 1 , 1 
Antioquia , Argelia,5055.0,Hombre,Menores de Edad (<18 años), - , - , - , - , - , - , - , - , - , - 
Antioquia , Argelia,5055.0,Hombre,Mayores de Edad (>18 años), - , - , 2 , - , - , - , - , - , - , 2 
Antioquia , Argelia,5055.0,HOMBRE,TOTAL, - , - , 2 , - , - , - , - , - , - , 2 
Antioquia , Argelia,5055.0,Mujer,Menores de Edad (<18 años), - , - , - , - , - , - , - , - , - , - 
Antioquia , Argelia,5055.0,Mujer,Mayores de Edad (>18 años), - , - , - , - , - , - , - , - , - , - 
Antioquia , Argelia,5055.0,MUJER,TOTAL, - , - , - , - , - , - , - , - , - , - 
Antioquia , Argelia,5055.0,Indeterminado,Menores de Edad (<18 años), - , - , - , - , - , - , - , - , - , - 
Antioquia , Argelia,5055.0,Indeterminado,Mayores de Edad (>18 años), - , - , - , - , - , - , - , - , - , - 
Antioquia , Argelia,5055.0,INDETERMINADO,TOTAL, - , - , - , - , - , - , - , - , - , - 
Antioquia , Argelia,5055.0,TOTAL,, - , - , 2 , - , - , - , - , - , - , 2 
Antioquia , Armenia,5059.0,Hombre,Menores de Edad (<18 años), - , - , - , - , - , - , - , - , - , - 
Antioquia , Armenia,5059.0,Hombre,Mayores de Edad (>18 años), - , - , - , - , - , - , - , - , 1 , 1 
Antioquia , Armenia,5059.0,HOMBRE,TOTAL, - , - , - , - , - , - , - , - , 1 , 1 
Antioquia , Armenia,5059.0,Mujer,Menores de Edad (<18 años), - , - , - , - , - , - , - , - , - , - 
Antioquia , Armenia,5059.0,Mujer,Mayores de Edad (>18 años), - , - , - , - , - , - , - , - , - , - 
Antioquia , Armenia,5059.0,MUJER,TOTAL, - , - , - , - , - , - , - , - , - , - 
Antioquia , Armenia,5059.0,Indeterminado,Menores de Edad (<18 años), - , - , - , - , - , - , - , - , - , - 
Antioquia , Armenia,5059.0,Indeterminado,Mayores de Edad (>18 años), - , - , - , - , - , - , - , - , - , - 
Antioquia , Armenia,5059.0,INDETERMINADO,TOTAL, - , - , - , - , - , - , - , - , - , - 
Antioquia , Armenia,5059.0,TOTAL,, - , - , - , - , - , - , - , - , 1 , 1 
Antioquia , Barbosa,5079.0,Hombre,Menores de Edad (<18 años), 2 , - , - , - , - , - , - , - , - , 2 
Antioquia , Barbosa,5079.0,Hombre,Mayores de Edad (>18 años), 8 , 1 , - , - , - , 2 , 5 , 6 , 6 , 28 
Antioquia , Barbosa,5079.0,HOMBRE,TOTAL, 10 , 1 , - , - , - , 2 , 5 , 6 , 6 , 30 
Antioquia , Barbosa,5079.0,Mujer,Menores de Edad (<18 años), - , - , - , - , - , - , - , - , - , - 
Antioquia , Barbosa,5079.0,Mujer,Mayores de Edad (>18 años), - , - , - , - , - , - , 1 , - , - , 1 
Antioquia , Barbosa,5079.0,MUJER,TOTAL, - , - , - , - , - , - , 1 , - , - , 1 
Antioquia , Barbosa,5079.0,Indeterminado,Menores de Edad (<18 años), - , - , - , - , - , - , - , - , - , - 
Antioquia , Barbosa,5079.0,Indeterminado,Mayores de Edad (>18 años), - , - , - , - , - , - , - , - , - , - 
Antioquia , Barbosa,5079.0,INDETERMINADO,TOTAL, - , - , - , - , - , - , - , - , - , - 
Antioquia , Barbosa,5079.0,TOTAL,, 10 , 1 , - , - , - , 2 , 6 , 6 , 6 , 31 
Antioquia , Bello,5088.0,Hombre,Menores de Edad (<18 años), 1 , - , - , 1 , - , 1 , - , 2 , - , 5 
Antioquia , Bello,5088.0,Hombre,Mayores de Edad (>18 años), 7 , 2 , 7 , 4 , 5 , 16 , 12 , 24 , 16 , 93 
Antioquia , Bello,5088.0,HOMBRE,TOTAL, 8 , 2 , 7 , 5 , 5 , 17 , 12 , 26 , 16 , 98 
Antioquia , Bello,5088.0,Mujer,Menores de Edad (<18 años), - , 1 , - , - , - , - , - , - , - , 1 
Antioquia , Bello,5088.0,Mujer,Mayores de Edad (>18 años), 1 , 1 , - , 2 , 1 , 3 , 1 , 3 , 2 , 14 
Antioquia , Bello,5088.0,MUJER,TOTAL, 1 , 2 , - , 2 , 1 , 3 , 1 , 3 , 2 , 15 
Antioquia , Bello,5088.0,Indeterminado,Menores de Edad (<18 años), - , - , - , - , - , - , - , - , - , - 
Antioquia , Bello,5088.0,Indeterminado,Mayores de Edad (>18 años), - , - , - , - , - , - , - , - , - , - 
Antioquia , Bello,5088.0,INDETERMINADO,TOTAL, - , - , - , - , - , - , - , - , - , - 
Antioquia , Bello,5088.0,TOTAL,, 9 , 4 , 7 , 7 , 6 , 20 , 13 , 29 , 18 , 113 
Antioquia , Belmira,5086.0,Hombre,Menores de Edad (<18 años), - , - , - , - , - , - , - , - , 1 , 1 
Antioquia , Belmira,5086.0,Hombre,Mayores de Edad (>18 años), - , - , - , - , - , - , - , - , - , - 
Antioquia , Belmira,5086.0,HOMBRE,TOTAL, - , - , - , - , - , - , - , - , 1 , 1 
Antioquia , Belmira,5086.0,Mujer,Menores de Edad (<18 años), - , - , - , - , - , - , - , - , - , - 
Antioquia , Belmira,5086.0,Mujer,Mayores de Edad (>18 años), - , - , - , - , - , - , - , - , - , - 
Antioquia , Belmira,5086.0,MUJER,TOTAL, - , - , - , - , - , - , - , - , - , - 
Antioquia , Belmira,5086.0,Indeterminado,Menores de Edad (<18 años), - , - , - , - , - , - , - , - , - , - 
Antioquia , Belmira,5086.0,Indeterminado,Mayores de Edad (>18 años), - , - , - , - , - , - , - , - , - , - 
Antioquia , Belmira,5086.0,INDETERMINADO,TOTAL, - , - , - , - , - , - , - , - , - , - 
Antioquia , Belmira,5086.0,TOTAL,, - , - , - , - , - , - , - , - , 1 , 1 
Antioquia , Betania,5091.0,Hombre,Menores de Edad (<18 años), - , - , - , - , - , - , - , - , 1 , 1 
Antioquia , Betania,5091.0,Hombre,Mayores de Edad (>18 años), 1 , 3 , 3 , 3 , 1 , - , 5 , 3 , 17 , 36 
Antioquia , Betania,5091.0,HOMBRE,TOTAL, 1 , 3 , 3 , 3 , 1 , - , 5 , 3 , 18 , 37 
Antioquia , Betania,5091.0,Mujer,Menores de Edad (<18 años), - , - , - , - , - , - , - , - , - , - 
Antioquia , Betania,5091.0,Mujer,Mayores de Edad (>18 años), - , 1 , - , - , 1 , - , - , - , - , 2 
Antioquia , Betania,5091.0,MUJER,TOTAL, - , 1 , - , - , 1 , - , - , - , - , 2 
Antioquia , Betania,5091.0,Indeterminado,Menores de Edad (<18 años), - , - , - , - , - , - , - , - , - , - 
Antioquia , Betania,5091.0,Indeterminado,Mayores de Edad (>18 años), - , - , - , - , - , - , - , - , - , - 
Antioquia , Betania,5091.0,INDETERMINADO,TOTAL, - , - , - , - , - , - , - , - , - , - 
Antioquia , Betania,5091.0,TOTAL,, 1 , 4 , 3 , 3 , 2 , - , 5 , 3 , 18 , 39 
Antioquia , Betulia,5093.0,Hombre,Menores de Edad (<18 años), - , - , - , - , - , - , - , - , - , - 
Antioquia , Betulia,5093.0,Hombre,Mayores de Edad (>18 años), - , - , - , 2 , 1 , 6 , 4 , 2 , - , 15 
Antioquia , Betulia,5093.0,HOMBRE,TOTAL, - , - , - , 2 , 1 , 6 , 4 , 2 , - , 15 
Antioquia , Betulia,5093.0,Mujer,Menores de Edad (<18 años), - , - , - , - , - , - , - , - , - , - 
Antioquia , Betulia,5093.0,Mujer,Mayores de Edad (>18 años), - , - , - , - , - , - , 1 , - , - , 1 
Antioquia , Betulia,5093.0,MUJER,TOTAL, - , - , - , - , - , - , 1 , - , - , 1 
Antioquia , Betulia,5093.0,Indeterminado,Menores de Edad (<18 años), - , - , - , - , - , - , - , - , - , - 
Antioquia , Betulia,5093.0,Indeterminado,Mayores de Edad (>18 años), - , - , - , - , - , - , - , - , - , - 
Antioquia , Betulia,5093.0,INDETERMINADO,TOTAL, - , - , - , - , - , - , - , - , - , - 
Antioquia , Betulia,5093.0,TOTAL,, - , - , - , 2 , 1 , 6 , 5 , 2 , - , 16 
Antioquia , Briceño,5107.0,Hombre,Menores de Edad (<18 años), - , - , - , - , - , - , - , - , - , - 
Antioquia , Briceño,5107.0,Hombre,Mayores de Edad (>18 años), - , - , - , - , - , 1 , 1 , - , 1 , 3 
Antioquia , Briceño,5107.0,HOMBRE,TOTAL, - , - , - , - , - , 1 , 1 , - , 1 , 3 
Antioquia , Briceño,5107.0,Mujer,Menores de Edad (<18 años), - , - , - , - , - , - , - , - , - , - 
Antioquia , Briceño,5107.0,Mujer,Mayores de Edad (>18 años), - , - , - , - , - , - , - , - , - , - 
Antioquia , Briceño,5107.0,MUJER,TOTAL, - , - , - , - , - , - , - , - , - , - 
Antioquia , Briceño,5107.0,Indeterminado,Menores de Edad (<18 años), - , - , - , - , - , - , - , - , - , - 
Antioquia , Briceño,5107.0,Indeterminado,Mayores de Edad (>18 años), - , - , - , - , - , - , - , - , - , - 
Antioquia , Briceño,5107.0,INDETERMINADO,TOTAL, - , - , - , - , - , - , - , - , - , - 
Antioquia , Briceño,5107.0,TOTAL,, - , - , - , - , - , 1 , 1 , - , 1 , 3 
Antioquia , Buriticá,5113.0,Hombre,Menores de Edad (<18 años), - , - , - , - , - , - , - , - , - , - 
Antioquia , Buriticá,5113.0,Hombre,Mayores de Edad (>18 años), - , - , - , - , - , - , 1 , 1 , - , 2 
Antioquia , Buriticá,5113.0,HOMBRE,TOTAL, - , - , - , - , - , - , 1 , 1 , - , 2 
Antioquia , Buriticá,5113.0,Mujer,Menores de Edad (<18 años), - , - , - , - , - , - , - , - , - , - 
Antioquia , Buriticá,5113.0,Mujer,Mayores de Edad (>18 años), - , - , - , - , - , - , - , - , - , - 
Antioquia , Buriticá,5113.0,MUJER,TOTAL, - , - , - , - , - , - , - , - , - , - 
Antioquia , Buriticá,5113.0,Indeterminado,Menores de Edad (<18 años), - , - , - , - , - , - , - , - , - , - 
Antioquia , Buriticá,5113.0,Indeterminado,Mayores de Edad (>18 años), - , - , - , - , - , - , - , - , - , - 
Antioquia , Buriticá,5113.0,INDETERMINADO,TOTAL, - , - , - , - , - , - , - , - , - , - 
Antioquia , Buriticá,5113.0,TOTAL,, - , - , - , - , - , - , 1 , 1 , - , 2 
Antioquia , Cáceres,5120.0,Hombre,Menores de Edad (<18 años), 1 , - , - , - , - , - , - , 1 , - , 2 
Antioquia , Cáceres,5120.0,Hombre,Mayores de Edad (>18 años), 5 , - , 8 , 1 , 3 , 6 , 3 , 7 , 22 , 55 
Antioquia , Cáceres,5120.0,HOMBRE,TOTAL, 6 , - , 8 , 1 , 3 , 6 , 3 , 8 , 22 , 57 
Antioquia , Cáceres,5120.0,Mujer,Menores de Edad (<18 años), - , - , - , - , - , - , - , 1 , 1 , 2 
Antioquia , Cáceres,5120.0,Mujer,Mayores de Edad (>18 años), 1 , - , - , - , 1 , - , - , - , 1 , 3 
Antioquia , Cáceres,5120.0,MUJER,TOTAL, 1 , - , - , - , 1 , - , - , 1 , 2 , 5 
Antioquia , Cáceres,5120.0,Indeterminado,Menores de Edad (<18 años), - , - , - , - , - , - , - , - , - , - 
Antioquia , Cáceres,5120.0,Indeterminado,Mayores de Edad (>18 años), - , - , - , - , - , - , - , - , - , - 
Antioquia , Cáceres,5120.0,INDETERMINADO,TOTAL, - , - , - , - , - , - , - , - , - , - 
Antioquia , Cáceres,5120.0,TOTAL,, 7 , - , 8 , 1 , 4 , 6 , 3 , 9 , 24 , 62 
Antioquia , Caldas,5129.0,Hombre,Menores de Edad (<18 años), - , - , - , - , - , - , - , - , - , - 
Antioquia , Caldas,5129.0,Hombre,Mayores de Edad (>18 años), 1 , - , - , 1 , - , 6 , 3 , 1 , 4 , 16 
Antioquia , Caldas,5129.0,HOMBRE,TOTAL, 1 , - , - , 1 , - , 6 , 3 , 1 , 4 , 16 
Antioquia , Caldas,5129.0,Mujer,Menores de Edad (<18 años), - , - , - , - , - , - , - , - , - , - 
Antioquia , Caldas,5129.0,Mujer,Mayores de Edad (>18 años), - , - , - , - , - , - , - , - , - , - 
Antioquia , Caldas,5129.0,MUJER,TOTAL, - , - , - , - , - , - , - , - , - , - 
Antioquia , Caldas,5129.0,Indeterminado,Menores de Edad (<18 años), - , - , - , - , - , - , - , - , - , - 
Antioquia , Caldas,5129.0,Indeterminado,Mayores de Edad (>18 años), - , - , - , - , - , - , - , - , - , - 
Antioquia , Caldas,5129.0,INDETERMINADO,TOTAL, - , - , - , - , - , - , - , - , - , - 
Antioquia , Caldas,5129.0,TOTAL,, 1 , - , - , 1 , - , 6 , 3 , 1 , 4 , 16 
Antioquia , Campamento,5134.0,Hombre,Menores de Edad (<18 años), - , - , - , - , - , - , 1 , - , - , 1 
Antioquia , Campamento,5134.0,Hombre,Mayores de Edad (>18 años), - , - , - , - , 1 , 1 , - , 1 , - , 3 
Antioquia , Campamento,5134.0,HOMBRE,TOTAL, - , - , - , - , 1 , 1 , 1 , 1 , - , 4 
Antioquia , Campamento,5134.0,Mujer,Menores de Edad (<18 años), - , - , - , - , - , - , - , - , - , - 
Antioquia , Campamento,5134.0,Mujer,Mayores de Edad (>18 años), - , - , - , - , - , - , - , - , - , - 
Antioquia , Campamento,5134.0,MUJER,TOTAL, - , - , - , - , - , - , - , - , - , - 
Antioquia , Campamento,5134.0,Indeterminado,Menores de Edad (<18 años), - , - , - , - , - , - , - , - , - , - 
Antioquia , Campamento,5134.0,Indeterminado,Mayores de Edad (>18 años), - , - , - , - , - , - , - , - , - , - 
Antioquia , Campamento,5134.0,INDETERMINADO,TOTAL, - , - , - , - , - , - , - , - , - , - 
