VIOLENCIA INTERPERSONAL EN BOGOTÁ D.C AÑO 2020 / LOCALIDAD DEL HECHO,Antonio Nariño,Antonio Nariño.1,Antonio Nariño.2,Antonio Nariño.3,Antonio Nariño.4,Antonio Nariño.5,Antonio Nariño.6,Barrios Unidos,Barrios Unidos.1,Barrios Unidos.2,Barrios Unidos.3,Barrios Unidos.4,Barrios Unidos.5,Barrios Unidos.6,Bosa,Bosa.1,Bosa.2,Bosa.3,Bosa.4,Bosa.5,Bosa.6,Chapinero,Chapinero.1,Chapinero.2,Chapinero.3,Chapinero.4,Chapinero.5,Chapinero.6,Ciudad Bolívar,Ciudad Bolívar.1,Ciudad Bolívar.2,Ciudad Bolívar.3,Ciudad Bolívar.4,Ciudad Bolívar.5,Ciudad Bolívar.6,Engativá,Engativá.1,Engativá.2,Engativá.3,Engativá.4,Engativá.5,Engativá.6,Fontibón,Fontibón.1,Fontibón.2,Fontibón.3,Fontibón.4,Fontibón.5,Fontibón.6,Kennedy,Kennedy.1,Kennedy.2,Kennedy.3,Kennedy.4,Kennedy.5,Kennedy.6,La Candelaria,La Candelaria.1,La Candelaria.2,La Candelaria.3,La Candelaria.4,La Candelaria.5,La Candelaria.6,Mártires,Mártires.1,Mártires.2,Mártires.3,Mártires.4,Mártires.5,Mártires.6,Puente Aranda,Puente Aranda.1,Puente Aranda.2,Puente Aranda.3,Puente Aranda.4,Puente Aranda.5,Puente Aranda.6,Rafael Uribe Uribe,Rafael Uribe Uribe.1,Rafael Uribe Uribe.2,Rafael Uribe Uribe.3,Rafael Uribe Uribe.4,Rafael Uribe Uribe.5,Rafael Uribe Uribe.6,San Cristóbal,San Cristóbal.1,San Cristóbal.2,San Cristóbal.3,San Cristóbal.4,San Cristóbal.5,San Cristóbal.6,Santafé,Santafé.1,Santafé.2,Santafé.3,Santafé.4,Santafé.5,Santafé.6,Suba,Suba.1,Suba.2,Suba.3,Suba.4,Suba.5,Suba.6,Sumapaz,Sumapaz.1,Sumapaz.2,Sumapaz.3,Sumapaz.4,Sumapaz.5,Sumapaz.6,Teusaquillo,Teusaquillo.1,Teusaquillo.2,Teusaquillo.3,Teusaquillo.4,Teusaquillo.5,Teusaquillo.6,Tunjuelito,Tunjuelito.1,Tunjuelito.2,Tunjuelito.3,Tunjuelito.4,Tunjuelito.5,Tunjuelito.6,Usaquén,Usaquén.1,Usaquén.2,Usaquén.3,Usaquén.4,Usaquén.5,Usaquén.6,Usme,Usme.1,Usme.2,Usme.3,Usme.4,Usme.5,Usme.6,Sin información,Sin información.1,Sin información.2,Sin información.3,Sin información.4,Sin información.5,Sin información.6,CIFRA
(25 a 29),-,24,24,-,11,11,35,-,32,32,-,24,24,56,-,163,163,-,80,80,243,-,69,69,-,25,25,94,-,202,202,-,86,86,288,-,164,164,-,57,57,221,-,102,102,-,35,35,137,-,315,315,-,133,133,448,-,30,30,-,5,5,35,-,87,87,-,37,37,124,-,68,68,-,26,26,94,-,104,104,-,44,44,148,-,136,136,-,59,59,195,-,68,68,-,17,17,85,-,207,207,-,61,61,268,-,-,-,-,-,-,-,-,37,37,-,13,13,50,-,75,75,-,20,20,95,-,90,90,-,23,23,113,-,107,107,-,56,56,163,-,279,279,-,45,45,324,3216
(30 a 34),-,31,31,-,11,11,42,-,24,24,-,20,20,44,-,118,118,-,64,64,182,-,42,42,-,14,14,56,-,132,132,-,54,54,186,-,145,145,-,46,46,191,-,72,72,-,23,23,95,-,260,260,-,97,97,357,-,7,7,-,5,5,12,-,67,67,-,19,19,86,-,72,72,-,22,22,94,-,87,87,-,39,39,126,-,88,88,-,39,39,127,-,50,50,-,21,21,71,-,134,134,-,69,69,203,-,1,1,-,-,-,1,-,29,29,-,8,8,37,-,34,34,-,20,20,54,-,57,57,-,25,25,82,-,77,77,-,39,39,116,-,178,178,-,35,35,213,2375
(35 a 39),-,16,16,-,12,12,28,-,27,27,-,12,12,39,-,93,93,-,48,48,141,-,27,27,-,12,12,39,-,88,88,-,45,45,133,-,99,99,-,42,42,141,-,45,45,-,16,16,61,-,153,153,-,73,73,226,-,18,18,-,4,4,22,-,51,51,-,16,16,67,-,51,51,-,7,7,58,-,60,60,-,33,33,93,-,55,55,-,28,28,83,-,28,28,-,10,10,38,-,96,96,-,47,47,143,-,-,-,-,-,-,-,-,24,24,-,11,11,35,-,30,30,-,16,16,46,-,43,43,-,16,16,59,-,36,36,-,30,30,66,-,140,140,-,32,32,172,1690
(40 a 44),-,15,15,-,6,6,21,-,20,20,-,4,4,24,-,74,74,-,35,35,109,-,25,25,-,6,6,31,-,54,54,-,48,48,102,-,64,64,-,24,24,88,-,37,37,-,9,9,46,-,97,97,-,64,64,161,-,8,8,-,2,2,10,-,40,40,-,15,15,55,-,42,42,-,14,14,56,-,40,40,-,22,22,62,-,53,53,-,25,25,78,-,28,28,-,10,10,38,-,73,73,-,45,45,118,-,-,-,-,-,-,-,-,17,17,-,5,5,22,-,22,22,-,13,13,35,-,33,33,-,17,17,50,-,31,31,-,21,21,52,-,84,84,-,29,29,113,1271
(45 a 49),-,7,7,-,3,3,10,-,11,11,-,6,6,17,-,40,40,-,34,34,74,-,10,10,-,10,10,20,-,43,43,-,23,23,66,-,56,56,-,26,26,82,-,15,15,-,13,13,28,-,81,81,-,45,45,126,-,6,6,-,-,-,6,-,17,17,-,8,8,25,-,20,20,-,12,12,32,-,28,28,-,15,15,43,-,26,26,-,14,14,40,-,18,18,-,3,3,21,-,37,37,-,29,29,66,-,-,-,-,-,-,-,-,12,12,-,1,1,13,-,14,14,-,6,6,20,-,16,16,-,14,14,30,-,34,34,-,22,22,56,-,47,47,-,14,14,61,836
(50 a 54),-,6,6,-,2,2,8,-,14,14,-,5,5,19,-,39,39,-,20,20,59,-,11,11,-,4,4,15,-,25,25,-,21,21,46,-,40,40,-,20,20,60,-,25,25,-,6,6,31,-,63,63,-,26,26,89,-,4,4,-,4,4,8,-,17,17,-,4,4,21,-,11,11,-,6,6,17,-,28,28,-,12,12,40,-,26,26,-,20,20,46,-,10,10,-,4,4,14,-,48,48,-,20,20,68,-,-,-,-,-,-,-,-,9,9,-,2,2,11,-,15,15,-,6,6,21,-,12,12,-,7,7,19,-,18,18,-,13,13,31,-,34,34,-,10,10,44,667
(55 a 59),-,7,7,-,4,4,11,-,8,8,-,3,3,11,-,20,20,-,13,13,33,-,6,6,-,3,3,9,-,18,18,-,11,11,29,-,28,28,-,10,10,38,-,16,16,-,3,3,19,-,44,44,-,27,27,71,-,5,5,-,2,2,7,-,9,9,-,10,10,19,-,16,16,-,8,8,24,-,18,18,-,9,9,27,-,25,25,-,15,15,40,-,14,14,-,8,8,22,-,29,29,-,21,21,50,-,-,-,-,-,-,-,-,7,7,-,3,3,10,-,10,10,-,5,5,15,-,11,11,-,6,6,17,-,11,11,-,10,10,21,-,27,27,-,10,10,37,510
(60 a 64),-,8,8,-,5,5,13,-,8,8,-,4,4,12,-,13,13,-,6,6,19,-,10,10,-,2,2,12,-,20,20,-,10,10,30,-,19,19,-,7,7,26,-,9,9,-,1,1,10,-,21,21,-,13,13,34,-,3,3,-,1,1,4,-,6,6,-,5,5,11,-,7,7,-,6,6,13,-,16,16,-,6,6,22,-,10,10,-,10,10,20,-,9,9,-,2,2,11,-,17,17,-,7,7,24,-,-,-,-,-,-,-,-,2,2,-,1,1,3,-,4,4,-,4,4,8,-,6,6,-,7,7,13,-,9,9,-,9,9,18,-,15,15,-,3,3,18,321
(65 a 69),-,4,4,-,1,1,5,-,2,2,-,2,2,4,-,6,6,-,7,7,13,-,2,2,-,-,-,2,-,10,10,-,7,7,17,-,4,4,-,5,5,9,-,7,7,-,3,3,10,-,13,13,-,6,6,19,-,1,1,-,1,1,2,-,2,2,-,-,-,2,-,6,6,-,4,4,10,-,10,10,-,5,5,15,-,4,4,-,3,3,7,-,1,1,-,-,-,1,-,18,18,-,4,4,22,-,-,-,-,-,-,-,-,4,4,-,1,1,5,-,3,3,-,-,-,3,-,3,3,-,-,-,3,-,2,2,-,1,1,3,-,14,14,-,2,2,16,168
(70 a 74),-,1,1,-,-,-,1,-,1,1,-,-,-,1,-,4,4,-,-,-,4,-,-,-,-,-,-,-,-,5,5,-,-,-,5,-,5,5,-,2,2,7,-,4,4,-,-,-,4,-,8,8,-,2,2,10,-,3,3,-,-,-,3,-,2,2,-,-,-,2,-,3,3,-,2,2,5,-,4,4,-,6,6,10,-,2,2,-,2,2,4,-,3,3,-,2,2,5,-,8,8,-,2,2,10,-,-,-,-,-,-,-,-,2,2,-,-,-,2,-,3,3,-,1,1,4,-,7,7,-,1,1,8,-,3,3,-,1,1,4,-,5,5,-,3,3,8,97
(75 a 79),-,-,-,-,-,-,-,-,1,1,-,1,1,2,-,1,1,-,-,-,1,-,1,1,-,-,-,1,-,2,2,-,-,-,2,-,3,3,-,2,2,5,-,2,2,-,1,1,3,-,9,9,-,-,-,9,-,-,-,-,-,-,-,-,2,2,-,-,-,2,-,2,2,-,-,-,2,-,1,1,-,-,-,1,-,1,1,-,2,2,3,-,-,-,-,-,-,-,-,1,1,-,1,1,2,-,-,-,-,-,-,-,-,-,-,-,2,2,2,-,2,2,-,-,-,2,-,1,1,-,-,-,1,-,3,3,-,1,1,4,-,1,1,-,-,-,1,43
(80 y más),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,1,1,3,-,1,1,-,-,-,1,-,4,4,-,2,2,6,-,-,-,-,-,-,-,-,2,2,-,-,-,2,-,-,-,-,2,2,2,-,1,1,-,-,-,1,-,1,1,-,-,-,1,-,1,1,-,-,-,1,-,1,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,1,1,2,-,1,1,-,-,-,1,21
TOTAL,15,159,174,5,73,78,252,4,216,220,6,106,112,332,63,788,851,44,437,481,1332,6,284,290,2,107,109,399,90,853,943,63,418,481,1424,36,866,902,18,315,333,1235,29,463,492,11,154,165,657,75,1494,1569,44,650,694,2263,-,122,122,1,36,37,159,22,420,442,9,143,152,594,41,396,437,8,141,149,586,36,530,566,21,250,271,837,78,619,697,38,290,328,1025,18,309,327,7,97,104,431,62,929,991,31,402,433,1424,-,2,2,-,-,-,2,16,206,222,2,63,65,287,48,308,356,9,126,135,491,16,398,414,6,164,170,584,50,478,528,42,297,339,867,140,1219,1359,44,256,300,1659,16840
VARIABLE: GRUPO EDAD JUDICIAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(00 a 04),-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,3,2,-,2,5,-,-,-,-,-,-,-,-,-,-,2,-,2,2,1,-,1,1,-,1,2,1,-,1,2,-,2,3,2,-,2,1,-,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,-,1,2,-,-,-,-,-,-,-,-,-,-,2,-,2,2,-,-,-,1,-,1,1,1,-,1,2,-,2,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,2,2,-,-,-,3,-,3,3,28
(05 a 09),-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,4,-,-,-,4,-,-,-,-,-,-,-,1,-,1,-,-,-,1,-,-,-,1,-,1,1,1,-,1,-,-,-,1,2,-,2,3,-,3,5,-,-,-,-,-,-,-,2,-,2,-,-,-,2,-,-,-,1,-,1,1,2,-,2,1,-,1,3,2,-,2,3,-,3,5,-,-,-,-,-,-,-,-,-,-,1,-,1,1,-,-,-,-,-,-,-,1,-,1,-,-,-,1,-,-,-,-,-,-,-,1,-,1,-,-,-,1,-,-,-,-,-,-,-,3,-,3,2,-,2,5,31
(10 a 13),-,-,-,1,-,1,1,1,-,1,1,-,1,2,4,-,4,7,-,7,11,-,-,-,-,-,-,-,2,-,2,10,-,10,12,2,-,2,1,-,1,3,2,-,2,-,-,-,2,4,-,4,8,-,8,12,-,-,-,-,-,-,-,3,-,3,1,-,1,4,2,-,2,1,-,1,3,3,-,3,3,-,3,6,3,-,3,3,-,3,6,2,-,2,-,-,-,2,5,-,5,5,-,5,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,3,1,-,1,4,2,-,2,1,-,1,3,4,-,4,5,-,5,9,5,-,5,1,-,1,6,96
(14 a 17),15,-,15,4,-,4,19,3,-,3,5,-,5,8,52,-,52,35,-,35,87,6,-,6,2,-,2,8,87,-,87,51,-,51,138,33,-,33,15,-,15,48,25,-,25,9,-,9,34,67,-,67,32,-,32,99,-,-,-,1,-,1,1,17,-,17,8,-,8,25,38,-,38,5,-,5,43,31,-,31,17,-,17,48,73,-,73,30,-,30,103,16,-,16,6,-,6,22,56,-,56,23,-,23,79,-,-,-,-,-,-,-,15,-,15,2,-,2,17,45,-,45,8,-,8,53,13,-,13,5,-,5,18,46,-,46,35,-,35,81,132,-,132,38,-,38,170,1101
(18 a 19),-,10,10,-,6,6,16,-,8,8,-,1,1,9,-,40,40,-,28,28,68,-,19,19,-,7,7,26,-,50,50,-,26,26,76,-,54,54,-,10,10,64,-,23,23,-,9,9,32,-,90,90,-,31,31,121,-,8,8,-,3,3,11,-,28,28,-,4,4,32,-,22,22,-,2,2,24,-,46,46,-,15,15,61,-,41,41,-,18,18,59,-,19,19,-,5,5,24,-,57,57,-,18,18,75,-,-,-,-,-,-,-,-,21,21,-,1,1,22,-,24,24,-,6,6,30,-,17,17,-,7,7,24,-,36,36,-,22,22,58,-,113,113,-,16,16,129,961
(20 a 24),-,30,30,-,12,12,42,-,60,60,-,24,24,84,-,177,177,-,102,102,279,-,62,62,-,24,24,86,-,204,204,-,87,87,291,-,183,183,-,63,63,246,-,105,105,-,35,35,140,-,336,336,-,131,131,467,-,29,29,-,9,9,38,-,90,90,-,25,25,115,-,76,76,-,30,30,106,-,87,87,-,44,44,131,-,151,151,-,55,55,206,-,60,60,-,15,15,75,-,203,203,-,78,78,281,-,1,1,-,-,-,1,-,42,42,-,15,15,57,-,72,72,-,29,29,101,-,102,102,-,41,41,143,-,110,110,-,71,71,181,-,281,281,-,57,57,338,3408
(25 a 28),-,18,18,-,11,11,29,-,26,26,-,18,18,44,-,130,130,-,66,66,196,-,61,61,-,19,19,80,-,173,173,-,66,66,239,-,128,128,-,38,38,166,-,91,91,-,32,32,123,-,256,256,-,114,114,370,-,27,27,-,5,5,32,-,70,70,-,27,27,97,-,55,55,-,25,25,80,-,87,87,-,34,34,121,-,115,115,-,49,49,164,-,60,60,-,10,10,70,-,168,168,-,48,48,216,-,-,-,-,-,-,-,-,27,27,-,11,11,38,-,62,62,-,15,15,77,-,71,71,-,21,21,92,-,82,82,-,48,48,130,-,229,229,-,36,36,265,2629
(29 a 34),-,37,37,-,11,11,48,-,30,30,-,26,26,56,-,151,151,-,78,78,229,-,50,50,-,20,20,70,-,161,161,-,74,74,235,-,181,181,-,65,65,246,-,83,83,-,26,26,109,-,319,319,-,116,116,435,-,10,10,-,5,5,15,-,84,84,-,29,29,113,-,85,85,-,23,23,108,-,104,104,-,49,49,153,-,109,109,-,49,49,158,-,58,58,-,28,28,86,-,173,173,-,82,82,255,-,1,1,-,-,-,1,-,39,39,-,10,10,49,-,47,47,-,25,25,72,-,76,76,-,27,27,103,-,102,102,-,47,47,149,-,228,228,-,44,44,272,2962
(35 a 39),-,16,16,-,12,12,28,-,27,27,-,12,12,39,-,93,93,-,48,48,141,-,27,27,-,12,12,39,-,88,88,-,45,45,133,-,99,99,-,42,42,141,-,45,45,-,16,16,61,-,153,153,-,73,73,226,-,18,18,-,4,4,22,-,51,51,-,16,16,67,-,51,51,-,7,7,58,-,60,60,-,33,33,93,-,55,55,-,28,28,83,-,28,28,-,10,10,38,-,96,96,-,47,47,143,-,-,-,-,-,-,-,-,24,24,-,11,11,35,-,30,30,-,16,16,46,-,43,43,-,16,16,59,-,36,36,-,30,30,66,-,140,140,-,32,32,172,1690
